shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
1,17:21,RW,13.5,16,192,17,0,25,3,26,27,Kyle Palmieri,7.1,2.1,53,8,46,1388,80,2,5.0,11,/players/p/palmiky01.html
0,19:20,LW,8.4,25,238,13,0,25,4,20,33,Taylor Hall,5.9,1.7,53,7,32,1392,72,-9,4.3,8,/players/h/hallta02.html
1,19:44,C,11.1,24,126,7,1,31,1,14,31,Travis Zajac,4.2,2.0,45,6,33,1578,80,-8,2.2,6,/players/z/zajactr01.html
2,18:10,C,14.1,15,142,12,1,26,2,20,20,Adam Henrique,3.9,1.3,40,6,38,1490,82,-20,2.5,4,/players/h/henriad01.html
0,17:21,LW,7.0,12,142,9,0,34,3,10,21,Mike Cammalleri,2.8,1.2,31,1,21,1059,61,-9,1.6,9,/players/c/cammami01.html
0,20:21,D,2.4,15,125,3,0,22,1,3,28,Damon Severson,3.4,1.6,31,0,58,1628,80,-31,1.8,13,/players/s/severda01.html
0,14:59,RW,11.9,10,109,9,0,33,2,13,14,P.A. Parenteau,2.6,0.6,27,4,35,884,59,-16,2.0,4,/players/p/parenpi01.html
0,14:18,C,9.6,8,83,3,0,19,2,8,16,Pavel Zacha,1.5,0.8,24,5,19,1002,70,-17,0.8,8,/players/z/zachapa01.html
0,18:59,D,11.8,8,102,11,0,26,1,12,10,John Moore,4.8,2.5,22,1,39,1196,63,-7,2.3,2,/players/m/moorejo01.html
0,13:33,RW,7.9,10,101,7,0,25,1,8,11,Beau Bennett,1.7,1.2,19,1,20,881,65,-3,0.6,1,/players/b/bennebe01.html
0,12:51,LW,7.6,7,105,6,0,21,0,8,9,Miles Wood,0.9,0.3,17,2,86,771,60,-21,0.6,2,/players/w/woodmi01.html
1,21:57,D,4.8,6,83,2,0,34,1,4,9,Andy Greene,2.5,2.4,13,1,8,1448,66,-16,0.1,3,/players/g/greenan01.html
0,18:38,D,6.6,8,61,4,0,31,0,4,8,Kyle Quincey,3.4,2.9,12,0,39,988,53,4,0.6,0,/players/q/quincky01.html
0,12:15,C,2.3,8,44,1,0,25,1,1,9,Jacob Josefson,0.6,0.6,10,0,16,465,38,-1,-0.1,1,/players/j/josefja01.html
0,13:30,RW,5.3,3,76,4,0,24,0,4,5,Devante Smith-Pelly,-0.3,0.3,9,0,12,716,53,-19,-0.6,2,/players/s/smithde06.html
0,13:22,LW,12.5,2,24,2,0,22,2,3,6,Joseph Blandisi,0.4,0.1,9,1,26,361,27,-10,0.3,4,/players/b/blandjo01.html
0,12:50,RW,11.8,2,51,6,0,23,0,6,2,Stefan Noesen,1.2,0.8,8,0,22,411,32,4,0.4,0,/players/n/noesest01.html
0,11:43,RW,7.0,3,57,4,0,24,0,4,3,Nick Lappin,-0.2,0.0,7,0,17,504,43,-17,-0.2,0,/players/l/lappini01.html
0,16:05,D,4.3,5,46,2,0,21,0,2,5,Steven Santini,1.3,1.1,7,0,14,611,38,-6,0.2,0,/players/s/santist01.html
