shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,17:23,C,8.0,18,237,13,0,35,4,19,43,Cliff Ronning,6.6,2.1,62,6,28,1390,80,4,4.4,25,/players/r/ronnicl01.html
3,19:17,RW,15.7,13,159,13,2,27,1,25,29,Scott Walker,6.1,2.0,54,9,66,1427,74,-2,4.1,14,/players/w/walkesc01.html
0,17:39,LW,10.1,20,139,9,0,31,2,14,31,Patric Kjellberg,4.0,2.0,45,5,12,1430,81,-2,2.1,11,/players/k/kjellpa01.html
0,15:14,C,7.6,22,172,10,0,20,3,13,28,David Legwand,3.9,1.8,41,3,38,1234,81,1,2.1,6,/players/l/legwada01.html
1,17:52,LW,12.2,13,123,10,0,26,4,15,19,Vitali Yachmenev,2.9,1.8,34,4,10,1393,78,-5,1.1,6,/players/y/yachmvi01.html
0,17:49,C,15.5,16,97,14,1,29,4,15,17,Greg Johnson,2.6,1.9,32,1,46,1461,82,-6,0.7,0,/players/j/johnsgr02.html
0,13:10,RW,12.4,12,97,7,0,22,1,12,15,Marian Cisar,2.7,0.9,27,5,45,790,60,-7,1.8,3,/players/c/cisarma01.html
0,14:10,C,7.4,11,121,4,0,25,0,9,17,Randy Robitaille,2.0,0.8,26,5,12,879,62,-11,1.1,6,/players/r/robitra01.html
0,23:11,D,7.9,5,151,6,0,25,3,12,13,Kimmo Timonen,6.5,4.8,25,6,50,1901,82,-6,1.8,8,/players/t/timonki01.html
0,21:38,D,6.4,6,94,3,0,29,1,6,18,Drake Berehowsky,4.8,3.2,24,3,100,1428,66,-9,1.6,12,/players/b/berehdr01.html
2,14:58,LW,6.7,7,135,7,2,32,2,9,9,Tom Fitzgerald,0.9,1.6,18,0,71,1227,82,-5,-0.7,0,/players/f/fitzgto01.html
1,21:12,D,5.1,9,78,3,2,33,1,4,12,Bill Houlder,4.4,4.2,16,0,40,1717,81,-7,0.2,1,/players/h/houldbi01.html
0,10:54,RW,2.2,14,92,2,0,18,0,2,14,Scott Hartnell,0.4,0.9,16,0,48,818,75,-8,-0.4,0,/players/h/hartnsc01.html
0,14:06,LW,12.9,6,62,7,0,30,4,8,6,Rob Valicevic,1.0,1.1,14,1,26,846,60,-2,-0.1,0,/players/v/valicro01.html
0,9:56,C,14.3,6,42,6,0,21,0,6,7,Denis Arkhipov,1.4,0.6,13,0,4,397,40,0,0.8,1,/players/a/arkhide01.html
0,19:12,D,1.5,9,66,1,1,26,1,1,11,Karlis Skrastins,3.1,3.4,12,0,30,1574,82,-12,-0.3,1,/players/s/skraska01.html
0,17:13,D,9.4,5,32,2,0,23,1,3,8,Mark Eaton,3.0,2.2,11,1,14,585,34,7,0.8,3,/players/e/eatonma01.html
0,13:05,D,3.7,5,81,2,0,23,0,3,5,Richard Lintner,2.4,1.9,8,1,22,654,50,2,0.4,0,/players/l/lintnri01.html
0,20:05,D,1.1,7,93,1,0,27,1,1,7,Cale Hulse,3.3,4.1,8,0,128,1647,82,-5,-0.8,0,/players/h/hulseca01.html
0,10:16,C,11.1,3,18,1,0,23,0,2,4,Greg Classen,0.3,0.2,6,1,14,277,27,-4,0.0,1,/players/c/classgr01.html
0,12:40,C,10.0,3,20,2,0,25,0,2,3,Sebastien Bordeleau,0.3,0.1,5,0,14,177,14,-4,0.2,0,/players/b/bordese01.html
0,11:40,LW,7.9,1,38,3,0,27,0,3,1,Ville Peltonen,0.1,0.1,4,0,2,268,23,-7,0.0,0,/players/p/peltovi01.html
0,11:02,RW,5.6,1,18,1,0,24,1,1,1,Mike Watt,0.0,0.2,2,0,8,199,18,-2,-0.2,0,/players/w/wattmi01.html
