shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,19:11,C,10.8,11,194,17,0,27,3,21,28,Mike Comrie,4.5,0.9,49,4,87,1458,76,-21,3.6,17,/players/c/comrimi01.html
0,17:23,RW,10.1,14,227,16,0,37,5,23,21,Bill Guerin,4.5,1.1,44,7,65,1408,81,-15,3.4,7,/players/g/gueribi01.html
0,18:19,RW,9.4,17,171,11,0,33,4,16,25,Miroslav Satan,3.5,1.4,41,5,39,1466,80,-11,2.1,8,/players/s/satanmi01.html
0,18:13,RW,5.4,20,222,10,2,27,1,12,29,Trent Hunter,2.7,1.1,41,2,43,1493,82,-17,1.6,7,/players/h/huntetr01.html
2,15:51,C,12.7,14,126,14,0,27,2,16,19,Josef Vasicek,3.6,1.6,35,0,53,1284,81,1,2.0,5,/players/v/vasicjo01.html
0,16:42,LW,13.2,14,121,8,2,29,2,16,17,Ruslan Fedotenko,3.2,1.0,33,8,40,1119,67,-9,2.2,1,/players/f/fedotru01.html
4,15:14,RW,9.1,15,132,7,1,31,2,12,20,Richard Park,2.7,1.4,32,1,20,1249,82,-4,1.3,4,/players/p/parkri01.html
2,18:36,C,14.9,9,94,9,0,36,2,14,12,Mike Sillinger,2.4,0.8,26,3,28,968,52,-10,1.7,3,/players/s/sillimi01.html
0,11:15,LW,6.5,11,155,9,0,23,1,10,12,Sean Bergenheim,2.0,1.0,22,1,62,878,78,-3,1.0,1,/players/b/bergese01.html
0,17:38,D,5.7,6,87,1,0,30,2,5,17,Bryan Berard,2.7,0.8,22,4,48,953,54,-17,1.9,11,/players/b/berarbr01.html
0,18:17,D,9.4,2,96,1,0,27,1,9,9,Marc-Andre Bergeron,2.9,0.8,18,8,16,841,46,-14,2.0,7,/players/b/bergema02.html
1,19:09,D,5.9,5,68,1,0,23,0,4,14,Chris Campoli,3.4,2.0,18,2,16,881,46,-1,1.4,9,/players/c/campoch01.html
0,13:29,C,6.3,8,127,8,0,26,0,8,8,Andy Hilbert,1.2,1.3,16,0,18,943,70,2,-0.1,0,/players/h/hilbean01.html
0,11:40,LW,11.9,6,67,7,0,21,1,8,7,Blake Comeau,1.6,0.8,15,1,22,595,51,1,0.8,1,/players/c/comeabl01.html
0,22:52,D,0.0,11,98,0,4,31,0,0,15,Radek Martinek,2.8,3.0,15,0,40,1578,69,-9,-0.1,0,/players/m/martira01.html
0,20:00,D,0.0,9,59,0,0,23,0,0,13,Bruno Gervais,2.5,2.4,13,0,34,1200,60,-5,0.1,4,/players/g/gervabr01.html
0,19:54,D,6.1,7,49,3,0,27,2,3,9,Freddy Meyer,3.4,2.9,12,0,22,1035,52,6,0.5,2,/players/m/meyerfr01.html
