offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.3,Mark Streit,5,1,5,10.7,31,150,40,D,10.1,56,74,19,4.8,1,10,1866,1,16,20,25:13,62
2.6,Kyle Okposo,9,0,-6,10.9,20,165,21,RW,3.8,39,65,4,1.2,3,9,1171,1,18,16,18:01,36
2.2,Doug Weight,5,0,-15,10.4,38,96,28,C,2.8,38,53,16,0.6,0,5,969,1,10,11,18:17,55
2.4,Bill Guerin,11,0,-15,8.8,38,181,20,RW,3.1,36,61,9,0.7,3,5,1050,0,16,11,17:13,63
1.6,Frans Nielsen,5,1,-4,8.9,24,101,24,C,2.6,33,59,13,1.0,2,3,976,1,9,10,16:32,18
2.1,Trent Hunter,9,0,-8,9.1,28,154,17,RW,2.9,31,55,5,0.8,2,5,901,1,14,11,16:23,41
1.2,Richard Park,8,2,-13,10.1,32,138,17,RW,2.2,31,71,3,1.0,1,4,1219,2,14,12,17:10,34
0.9,Andy Hilbert,9,1,-3,6.6,27,167,16,C,2.1,27,67,3,1.2,0,1,1082,1,11,12,16:09,22
0.3,Josh Bailey,4,0,-14,9.5,19,74,18,C,1.0,25,68,8,0.7,0,3,1053,0,7,10,15:29,16
0.9,Blake Comeau,5,0,-17,9.0,22,78,18,LW,1.2,25,53,7,0.4,0,2,863,0,7,11,16:17,32
1.7,Sean Bergenheim,11,4,-2,9.9,24,152,9,LW,2.6,24,59,0,0.9,5,0,841,0,15,9,14:15,64
0.9,Mike Comrie,5,0,-8,8.8,28,80,13,C,1.4,20,41,2,0.5,0,2,675,1,7,10,16:28,26
0.5,Bruno Gervais,3,0,-15,3.7,24,82,16,D,2.9,19,69,3,2.3,1,0,1490,1,3,12,21:36,33
1.2,Chris Campoli,5,1,-20,11.3,24,53,11,D,2.0,17,51,5,0.8,2,0,1011,0,6,6,19:50,43
0.8,Jon Sim,6,0,-12,10.0,31,90,6,LW,1.0,15,49,0,0.2,0,3,596,0,9,6,12:10,42
-0.1,Jeff Tambellini,7,0,-20,7.1,24,98,8,LW,0.1,15,65,0,0.2,0,0,852,0,7,8,13:07,32
-0.6,Tim Jackman,4,1,-17,5.1,27,99,7,RW,-0.2,12,69,0,0.3,0,0,811,0,5,7,11:45,155
0.4,Radek Martinek,5,0,-16,11.1,32,54,4,D,1.7,10,51,0,1.3,1,1,1099,0,6,4,21:34,28
0.7,Andy Sutton,2,0,3,10.5,33,19,8,D,2.0,10,23,0,1.3,0,0,465,0,2,8,20:14,40
0.7,Freddy Meyer,4,0,-19,11.1,28,36,5,D,0.5,9,27,0,-0.2,1,0,567,1,4,4,21:00,14
0.4,Dean McAmmond,2,0,5,10.5,35,19,7,LW,0.9,9,18,0,0.5,0,0,273,0,2,7,15:09,8
-0.6,Brendan Witt,0,0,-34,0.0,33,52,9,D,-0.2,9,65,0,0.4,0,0,1320,1,0,8,20:18,94
0.0,Jack Hillen,1,0,-9,2.1,23,47,5,D,0.7,6,40,0,0.7,0,0,608,1,1,4,15:13,16
0.2,Mike Iggulden,1,0,-3,6.3,26,16,4,C,0.3,5,11,0,0.0,0,0,133,0,1,4,12:08,4
-0.9,Nate Thompson,1,1,-11,3.6,24,56,2,C,-0.7,4,43,0,0.2,0,0,520,0,2,2,12:05,49
0.2,Jesse Joensuu,1,0,-1,11.1,21,9,2,LW,0.2,3,7,1,0.1,0,0,85,0,1,1,12:06,4
-0.5,Thomas Pock,1,0,-17,2.0,27,51,2,D,-0.1,3,59,0,0.4,0,0,750,1,1,1,12:42,35
0.1,Mike Sillinger,1,0,-5,14.3,37,14,0,C,0.1,2,7,0,-0.1,0,1,99,0,2,0,14:08,0
-0.1,Joe Callahan,0,0,5,0.0,26,6,2,D,0.9,2,18,0,1.0,0,0,270,0,0,2,15:00,4
0.0,Rick DiPietro,0,0,0,,27,0,2,G,0.6,2,5,0,0.0,0,0,256,0,0,0,51:12,2
0.1,Kurtis McLean,1,0,1,20.0,28,5,0,RW,0.2,1,4,0,0.1,1,0,42,0,1,0,10:34,0
0.0,Trevor Smith,1,0,-3,14.3,23,7,0,C,0.0,1,7,0,0.0,0,0,83,0,1,0,11:48,0
-0.1,Jeremy Colliton,0,0,-2,0.0,24,4,1,C,-0.1,1,6,0,0.0,0,0,66,0,0,1,11:03,2
0.0,Joey MacDonald,0,0,0,,28,0,1,G,8.1,1,49,0,0.0,0,0,2792,0,0,0,56:59,6
-0.1,Joel Rechlicz,0,0,-1,0.0,21,7,1,RW,-0.1,1,17,0,0.1,0,0,83,0,0,1,4:52,68
0.0,Sean Bentivoglio,0,0,0,0.0,23,2,0,LW,0.0,0,1,0,0.0,0,0,12,0,0,0,11:31,2
0.0,Yann Danis,0,0,0,,27,0,0,G,5.7,0,31,0,0.0,0,0,1760,0,0,0,56:47,0
0.0,Jamie Fraser,0,0,0,,23,0,0,D,0.0,0,1,0,0.0,0,0,11,0,0,0,11:00,0
-0.2,Mitch Fritz,0,0,-4,0.0,28,2,0,LW,-0.2,0,20,0,-0.1,0,0,54,0,0,0,2:41,42
0.0,Andrew MacDonald,0,0,2,0.0,22,1,0,D,0.2,0,3,0,0.2,0,0,31,0,0,0,10:10,2
0.0,Peter Mannino,0,0,0,,24,0,0,G,0.3,0,3,0,0.0,0,0,133,0,0,0,44:18,0
-0.2,Brett Skinner,0,0,3,0.0,25,5,0,D,0.4,0,11,0,0.5,0,0,129,0,0,0,11:43,4
-0.1,Ben Walter,0,0,-2,0.0,24,2,0,C,-0.2,0,4,0,0.0,0,0,44,0,0,0,10:58,0
