offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.6,John Ogrodnick,24,0,11,20.0,30,215,31,LW,7.2,74,80,12,1.6,8,19,,0,43,19,,44
4.1,Brian Mullen,17,3,7,14.5,27,186,41,RW,5.5,68,76,15,1.4,3,7,,1,27,25,,42
4.3,Darren Turcotte,21,1,3,15.6,21,205,34,LW,5.6,66,76,18,1.3,4,10,,1,32,15,,32
3.9,Kelly Kisio,13,2,11,17.2,30,128,44,C,5.3,66,68,17,1.4,1,7,,1,22,26,,105
3.8,James Patrick,5,0,4,10.3,26,136,43,D,8.5,57,73,25,4.7,0,9,,2,14,16,,50
3.5,Brian Leetch,6,0,-18,5.0,21,222,45,D,6.9,56,72,29,3.4,2,5,,0,11,16,,26
2.4,Tomas Sandstrom,13,0,-10,11.4,25,166,19,RW,2.9,38,48,8,0.5,3,6,,0,19,11,,100
2.4,Bernie Nicholls,5,0,-3,10.4,28,115,25,C,2.8,37,32,15,0.4,0,7,,0,12,10,,20
1.6,Ulf Dahlen,5,0,-4,16.2,23,111,18,RW,2.5,36,63,9,0.9,4,13,,0,18,9,,30
0.1,Troy Mallette,9,0,-8,12.1,19,107,16,RW,1.1,29,79,2,1.1,1,4,,0,13,14,,305
1.0,Carey Wilson,5,0,4,14.1,27,64,17,C,1.8,26,41,10,0.8,1,4,,0,9,7,,57
0.9,Tony Granato,6,0,1,8.9,25,79,18,RW,1.6,25,37,7,0.6,0,1,,2,7,9,,77
1.5,Mike Gartner,5,0,4,22.9,30,48,5,RW,1.8,16,12,2,0.3,3,6,,0,11,3,,6
0.0,Mark Hardy,0,0,4,0.0,30,55,15,D,3.6,15,54,3,3.5,0,0,,2,0,10,,94
0.4,Miloslav Horava,3,0,10,8.0,28,50,10,D,3.7,14,45,4,3.3,1,1,,0,4,6,,26
-1.2,Kris King,6,0,2,12.2,23,49,7,LW,-0.1,13,68,0,1.2,0,0,,0,6,7,,286
-1.8,Mark Janssens,5,0,-26,8.2,21,61,8,C,-1.2,13,80,1,0.6,0,0,,0,5,7,,161
-1.0,Jan Erixon,4,0,-17,6.6,27,61,9,RW,-0.5,13,58,0,0.5,1,0,,0,4,9,,8
-0.2,Randy Moller,1,0,-1,2.1,26,47,12,D,3.5,13,60,0,3.6,0,0,,0,1,12,,139
0.6,David Shaw,0,1,-3,8.3,25,24,10,D,1.8,12,22,3,1.2,0,1,,0,2,7,,22
-0.3,Ron Greschner,1,0,-7,3.8,35,26,9,D,2.7,10,55,3,3.0,0,0,,0,1,6,,53
-1.3,Lindy Ruff,3,0,-10,5.1,29,59,6,LW,-0.6,9,56,0,0.6,2,0,,0,3,6,,80
-0.3,Paul Broten,5,0,-4,11.6,24,43,3,C,0.1,8,32,0,0.4,0,0,,0,5,3,,26
0.1,Jeff Bloemberg,1,0,-8,15.0,22,20,3,D,1.4,6,28,2,1.3,1,2,,0,3,1,,25
-0.2,Dave Archibald,1,0,0,6.7,20,30,3,C,0.1,5,19,1,0.3,0,1,,0,2,2,,6
-0.2,Kevin Miller,0,0,-1,0.0,24,9,5,C,0.0,5,16,0,0.2,0,0,,0,0,5,,2
-0.1,Normand Rochefort,3,0,2,10.0,29,30,1,D,1.9,4,31,0,2.0,1,0,,1,3,0,,24
-0.7,Chris Nilan,1,0,-8,4.2,31,24,2,RW,-0.5,3,25,0,0.2,0,0,,0,1,2,,59
0.0,Mike Richter,0,0,0,,23,0,3,G,4.9,3,23,0,0.0,0,0,,0,0,0,,0
0.0,John Vanbiesbrouck,0,0,0,,26,0,2,G,7.9,2,47,0,0.0,0,0,,0,0,0,,24
-0.1,Rick Bennett,1,0,-4,16.7,22,6,0,LW,-0.1,1,6,0,0.0,0,0,,0,1,0,,5
-0.1,Todd Charlesworth,0,0,-3,0.0,24,4,0,D,0.1,0,7,0,0.3,0,0,,0,0,0,,6
0.0,Bob Froese,0,0,0,,31,0,0,G,1.7,0,15,0,0.0,0,0,,0,0,0,,0
-0.2,Corey Millen,0,0,-2,0.0,25,4,0,C,-0.1,0,4,0,0.0,0,0,,0,0,0,,2
-0.6,Rudy Poeschek,0,0,-1,0.0,23,1,0,RW,-0.4,0,15,0,0.2,0,0,,0,0,0,,55
