shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
1,20:19,RW,15.2,20,243,27,0,29,4,37,34,Daniel Alfredsson,9.3,1.6,71,9,45,1584,78,3,7.7,14,/players/a/alfreda01.html
2,17:57,C,14.7,23,170,17,1,26,5,25,45,Radek Bonk,8.1,1.5,70,6,52,1472,82,3,6.6,21,/players/b/bonkra01.html
1,18:29,RW,11.2,21,278,21,1,23,4,31,35,Marian Hossa,8.6,1.8,66,9,50,1479,80,11,6.8,13,/players/h/hossama01.html
0,14:46,LW,15.2,18,145,13,0,20,6,22,28,Martin Havlat,5.8,0.7,50,9,66,1063,72,-7,5.1,10,/players/h/havlama01.html
0,18:22,C,13.6,23,147,16,0,26,1,20,30,Todd White,5.6,1.9,50,4,24,1487,81,12,3.7,7,/players/w/whiteto02.html
0,17:40,LW,7.7,25,196,10,0,32,3,15,31,Shawn McEachern,4.6,1.7,46,5,52,1413,80,9,2.9,6,/players/m/mceacsh01.html
0,17:44,LW,9.9,21,121,12,4,30,1,12,27,Magnus Arvedson,4.4,2.3,39,0,35,1312,74,27,2.1,2,/players/a/arvedma01.html
1,25:06,D,5.8,15,156,4,1,24,1,9,25,Wade Redden,8.2,5.4,34,4,48,1983,79,22,2.7,9,/players/r/reddewa01.html
3,14:05,C,12.2,8,123,12,1,21,4,15,9,Mike Fisher,3.2,1.1,24,0,55,817,58,8,2.1,0,/players/f/fishemi01.html
1,22:16,D,9.5,10,105,5,2,24,2,10,13,Zdeno Chara,7.5,5.5,23,4,156,1670,75,30,2.0,1,/players/c/charazd01.html
0,19:31,D,5.8,9,103,5,0,23,1,6,16,Chris Phillips,4.5,2.7,22,1,29,1229,63,5,1.9,7,/players/p/phillch02.html
1,19:52,D,3.3,9,122,2,0,27,2,4,14,Sami Salo,3.6,2.5,18,1,14,1311,66,1,1.1,5,/players/s/salosa01.html
0,19:19,D,5.5,11,55,2,0,22,2,3,15,Karel Rachunek,3.7,2.4,18,1,24,985,51,7,1.3,4,/players/r/rachuka01.html
0,8:22,RW,17.9,7,56,9,0,22,0,10,7,Chris Neil,2.1,0.8,17,1,231,602,72,5,1.3,0,/players/n/neilch01.html
0,8:23,LW,10.0,8,60,6,0,26,0,6,8,Andre Roy,1.5,0.6,14,0,148,469,56,3,0.9,0,/players/r/royan01.html
0,11:19,C,4.9,9,81,4,0,27,0,4,9,Chris Herperger,0.6,0.9,13,0,43,815,72,4,-0.4,0,/players/h/herpech01.html
0,18:28,D,1.7,6,59,1,0,32,0,1,9,Curtis Leschyshyn,2.0,2.3,10,0,44,1459,79,-5,-0.3,3,/players/l/leschcu01.html
0,14:34,D,5.7,5,35,2,1,32,0,2,7,Ricard Persson,1.9,1.2,9,0,42,495,34,3,0.7,1,/players/p/perssri01.html
0,17:31,LW,25.0,2,20,4,0,33,2,5,3,Benoit Brunet,0.9,0.0,8,1,0,228,13,-4,0.8,1,/players/b/brunebe01.html
0,9:46,RW,0.0,8,73,0,0,27,0,0,8,Bill Muckalt,-0.5,0.5,8,0,46,684,70,-3,-1.0,0,/players/m/muckabi01.html
0,10:10,RW,16.7,2,12,2,0,32,1,2,2,Jody Hull,0.2,0.2,4,0,6,244,24,0,0.0,0,/players/h/hulljo01.html
0,7:51,LW,5.6,2,18,1,0,24,0,1,2,Ivan Ciernik,0.1,0.2,3,0,4,181,23,0,-0.1,0,/players/c/cierniv01.html
0,16:56,D,2.9,1,34,1,0,26,0,1,1,Shane Hnidy,0.0,0.2,2,0,57,559,33,-10,-0.2,0,/players/h/hnidysh01.html
1,15:17,LW,4.5,1,22,0,0,29,0,1,1,Juha Ylonen,-0.1,0.2,2,0,2,229,15,-1,-0.3,0,/players/y/yloneju01.html
0,9:33,C,9.1,0,11,1,0,29,0,1,0,Steve Martins,0.0,0.2,1,0,4,134,14,1,-0.1,0,/players/m/martist02.html
0,5:43,LW,0.0,1,2,0,0,23,0,0,1,Chris Bala,0.1,0.1,1,0,0,34,6,1,0.0,0,/players/b/balach01.html
0,7:04,RW,0.0,1,5,0,0,22,0,0,1,Toni Dahlman,-0.1,0.0,1,0,0,71,10,-1,-0.1,0,/players/d/dahlmto01.html
0,58:44,G,,0,0,0,0,27,0,0,1,Patrick Lalime,8.5,0.0,1,0,19,3583,61,0,0.0,0,/players/l/lalimpa01.html
0,3:21,LW,,1,0,0,0,22,0,0,1,Petr Schastlivy,0.1,0.0,1,0,0,3,1,1,0.1,0,/players/s/schaspe01.html
0,52:21,G,,0,0,0,0,27,0,0,0,Jani Hurme,3.5,0.0,0,0,17,1309,25,0,0.0,0,/players/h/hurmeja01.html
0,13:41,D,0.0,0,9,0,0,24,0,0,0,Joel Kwiatkowski,0.5,0.7,0,0,12,150,11,5,-0.2,0,/players/k/kwiatjo01.html
0,23:30,G,,0,0,0,0,21,0,0,0,Simon Lajeunesse,0.2,0.0,0,0,0,24,1,0,0.0,0,/players/l/lajeusi01.html
0,8:15,RW,0.0,0,5,0,0,24,0,0,0,Josh Langfeld,0.0,0.0,0,0,2,8,1,0,0.0,0,/players/l/langfjo01.html
0,61:41,G,,0,0,0,0,26,0,0,0,Martin Prusek,-0.1,0.0,0,0,0,62,1,0,0.0,0,/players/p/prusema01.html
0,11:37,D,0.0,0,3,0,0,26,0,0,0,Jamie Rivers,-0.2,-0.2,0,0,4,23,2,-3,0.0,0,/players/r/riverja01.html
