assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
68,0,24,23,,4.5,1.0,19,,21,C,5.6,47,PHI,/players/l/linseke01.html,0,275,2,6,Ken Linseman,11.3,1982,92,3,79,212
47,6,44,22,,5.8,1.4,31,,22,LW,7.1,24,PHI,/players/p/proppbr01.html,1,117,13,19,Brian Propp,15.2,1982,91,0,80,290
44,6,45,29,,5.7,1.0,28,,26,LW,6.7,18,PHI,/players/b/barbebi01.html,0,85,13,4,Bill Barber,12.9,1982,89,4,80,350
39,2,33,21,,4.1,1.2,23,,13,C,5.3,26,PHI,/players/f/flockro02.html,0,44,10,18,Ron Flockhart,13.8,1982,72,0,72,240
46,3,17,32,,2.8,1.4,14,,11,C,4.2,33,PHI,/players/c/clarkbo01.html,2,154,2,28,Bobby Clarke,15.5,1982,63,1,62,110
37,2,17,22,,2.7,0.9,12,,10,RW,3.6,27,PHI,/players/a/allisra01.html,0,104,5,13,Ray Allison,13.0,1982,54,0,51,131
30,2,21,22,,2.3,0.8,14,,3,RW,3.1,27,PHI,/players/k/kerrti01.html,0,138,7,6,Tim Kerr,17.8,1982,51,0,61,118
21,5,26,31,,2.2,0.8,21,,6,RW,3.0,15,PHI,/players/l/leachre01.html,0,18,5,2,Reggie Leach,12.3,1982,47,0,66,211
22,0,15,23,,0.8,1.2,14,,6,LW,1.9,16,PHI,/players/s/sinisil01.html,0,22,1,18,Ilkka Sinisalo,17.2,1982,37,0,66,87
23,3,13,23,,2.1,3.0,8,,11,D,5.1,12,PHI,/players/w/wilsobe02.html,0,135,5,6,Behn Wilson,10.0,1982,36,0,59,130
18,2,14,31,,1.6,0.4,8,,2,C,2.0,16,PHI,/players/s/sittlda01.html,0,50,5,-1,Darryl Sittler,12.3,1982,32,1,35,114
22,3,9,26,,1.0,0.7,5,,4,RW,1.7,17,PHI,/players/h/holmgpa01.html,1,183,4,10,Paul Holmgren,12.7,1982,31,0,41,71
20,0,7,26,,1.1,3.3,3,,5,D,4.4,15,PHI,/players/h/hoffmbo01.html,0,142,4,13,Bob Hoffmeyer,8.0,1982,27,0,57,88
22,1,2,23,,0.4,3.9,2,,0,D,4.3,20,PHI,/players/m/marshbr01.html,2,106,0,17,Brad Marsh,3.4,1982,24,0,66,58
13,0,6,26,,0.0,0.3,6,,1,LW,0.3,12,PHI,/players/h/hillal01.html,0,58,0,-4,Al Hill,12.0,1982,19,0,41,50
15,0,4,21,,0.2,0.5,4,,0,LW,0.7,15,PHI,/players/a/adamsgr01.html,0,105,0,7,Greg Adams,13.8,1982,19,0,33,29
12,0,6,24,,0.3,3.9,5,,1,D,4.2,11,PHI,/players/c/cochrgl01.html,0,329,0,19,Glen Cochrane,9.0,1982,18,1,63,67
10,1,4,20,,0.6,1.9,4,,5,D,2.4,5,PHI,/players/b/botelma01.html,0,31,0,8,Mark Botell,8.0,1982,14,0,32,50
8,0,5,24,,-1.5,0.3,4,,0,RW,-1.2,8,PHI,/players/g/gorento01.html,0,8,0,-17,Tom Gorence,5.7,1982,13,1,66,88
