offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
6.9,Rick Tocchet,21,1,4,13.8,25,269,59,RW,7.9,96,75,18,1.0,0,15,,2,37,39,,196
4.4,Murray Craven,16,2,2,14.3,25,175,50,LW,5.4,75,76,15,1.0,3,7,,2,25,33,,42
4.0,Mike Bullard,21,0,0,14.9,28,181,37,C,4.8,64,70,14,0.8,4,6,,0,27,23,,67
3.5,Pelle Eklund,15,3,7,18.3,26,126,39,LW,4.6,62,70,12,1.0,2,5,,0,23,27,,16
3.7,Tim Kerr,15,0,-3,14.8,30,162,24,RW,4.1,48,40,11,0.4,2,9,,0,24,13,,34
2.2,Ron Sutter,20,2,2,14.0,26,157,26,C,3.2,48,75,1,1.0,6,0,,0,22,25,,104
2.8,Ilkka Sinisalo,16,3,6,22.5,31,102,23,RW,3.7,46,59,3,0.9,4,4,,3,23,17,,26
2.5,Gord Murphy,10,0,-7,8.8,22,160,27,D,5.6,41,75,12,3.1,1,4,,0,14,15,,95
1.5,Brian Propp,8,0,3,12.0,30,108,15,LW,2.0,28,40,5,0.6,0,5,,0,13,10,,31
1.8,Mark Howe,3,1,22,11.1,34,63,21,D,4.8,28,40,8,3.1,1,3,,1,7,12,,24
0.3,Keith Acton,11,2,-2,13.8,31,94,14,C,1.1,27,69,0,0.8,0,0,,0,13,14,,80
-0.1,Scott Mellanby,6,0,-4,5.8,23,104,17,RW,0.5,23,57,2,0.6,1,0,,0,6,15,,77
0.7,Kjell Samuelsson,5,0,20,5.7,31,88,17,D,4.8,22,66,1,4.2,1,0,,1,5,15,,91
0.6,Terry Carkner,3,0,-8,6.7,23,60,18,D,3.1,22,63,2,2.5,1,1,,1,4,15,,169
1.2,Jiri Latal,3,0,4,10.2,22,59,13,D,2.9,19,32,1,1.7,0,3,,0,6,12,,6
0.4,Jay Wells,3,0,4,3.9,30,76,16,D,3.4,19,59,3,3.0,1,0,,0,3,13,,129
-1.2,Craig Berube,4,0,-7,7.7,24,52,14,LW,-0.5,18,74,0,0.7,0,0,,0,4,14,,291
0.8,Dave Poulin,9,0,5,19.6,31,46,8,C,1.3,17,28,0,0.5,1,0,,0,9,8,,12
0.3,Ken Linseman,4,0,-7,15.6,31,32,9,C,0.4,14,29,3,0.2,0,1,,0,5,6,,30
0.2,Kerry Huffman,1,0,-3,1.4,22,70,12,D,2.0,13,43,10,1.8,0,0,,0,1,2,,34
-0.8,Tony Horacek,5,0,6,16.1,22,31,5,LW,0.0,10,48,0,0.7,1,0,,0,5,5,,117
-1.2,Derrick Smith,3,0,-15,4.2,25,72,6,LW,-1.0,9,55,0,0.3,0,0,,1,3,5,,32
-0.8,Jeff Chychrun,2,0,-12,3.8,23,52,7,D,2.2,9,79,0,3.0,1,0,,1,2,6,,250
-0.3,Doug Sulliman,3,0,4,10.7,30,28,4,RW,0.1,7,28,0,0.5,0,0,,0,3,4,,0
0.1,Murray Baron,2,0,-1,11.1,22,18,2,D,0.8,4,16,0,0.7,0,0,,0,2,2,,12
-0.1,Don Biggs,1,0,-4,14.3,24,14,0,C,-0.1,2,11,0,0.0,0,1,,0,2,0,,8
-0.1,Brian Dobbin,0,0,1,9.1,23,11,1,RW,0.0,2,9,1,0.1,0,1,,0,1,0,,11
-0.5,Normand Lacombe,0,0,0,0.0,25,21,2,RW,-0.3,2,18,0,0.2,0,0,,0,0,2,,7
0.0,Ken Wregget,0,0,0,,25,0,2,G,9.7,2,51,0,0.0,0,0,,0,0,0,,12
0.0,Kevin Maguire,1,0,-1,14.3,27,7,0,RW,0.0,1,5,0,0.0,0,0,,0,1,0,,6
0.0,Don Nachbaur,0,0,1,,31,0,1,C,0.0,1,2,0,0.1,0,0,,0,0,1,,0
0.0,Pete Peeters,0,0,0,,32,0,1,G,3.3,1,24,0,0.0,0,0,,0,0,0,,2
0.0,Len Barrie,0,0,-2,,20,0,0,C,-0.1,0,1,0,0.0,0,0,,0,0,0,,0
-0.2,David Fenyves,0,0,-6,0.0,29,10,0,D,0.0,0,12,0,0.2,0,0,,0,0,0,,4
-0.1,Craig Fisher,0,0,0,0.0,19,5,0,C,-0.1,0,2,0,0.0,0,0,,0,0,0,,0
-0.1,Mark Freer,0,0,0,0.0,21,2,0,C,-0.1,0,2,0,0.0,0,0,,0,0,0,,0
-0.3,Jeff Harding,0,0,-1,0.0,20,11,0,RW,-0.3,0,9,0,0.1,0,0,,0,0,0,,18
0.0,Ron Hextall,0,0,0,,25,0,0,G,0.9,0,8,0,0.0,0,0,,0,0,0,,14
0.0,Bruce Hoffort,0,0,0,,23,0,0,G,0.8,0,7,0,0.0,0,0,,0,0,0,,2
0.0,Chris Jensen,0,0,-1,,26,0,0,RW,-0.1,0,1,0,0.0,0,0,,0,0,0,,2
0.0,Shaun Sabol,0,0,0,0.0,23,2,0,D,0.1,0,2,0,0.1,0,0,,0,0,0,,0
