offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
6.9,Ray Whitney,16,0,26,13.0,39,185,53,LW,9.7,77,82,12,2.8,1,8,1529,0,24,41,18:39,28
6.8,Radim Vrbata,25,1,24,15.1,30,232,27,RW,9.3,62,77,8,2.6,12,9,1435,0,35,19,18:39,24
3.6,Shane Doan,17,0,-8,9.7,35,226,28,RW,5.0,50,79,9,1.3,5,5,1548,1,22,18,19:36,48
3.9,Keith Yandle,11,0,5,5.6,25,196,32,D,8.1,43,82,11,4.3,2,0,1832,0,11,21,22:20,51
2.0,Lauri Korpikoski,14,3,3,11.6,25,146,20,LW,3.7,37,82,2,1.6,3,0,1405,0,17,18,17:08,14
1.3,Martin Hanzal,5,0,12,5.5,24,145,26,C,3.1,34,64,8,1.8,2,3,1180,0,8,18,18:27,63
2.9,Oliver Ekman-Larsson,10,1,0,8.8,20,147,19,D,6.7,32,82,6,3.8,2,2,1813,0,13,13,22:07,32
1.3,Daymond Langkow,10,0,-4,9.8,35,112,19,C,2.4,30,73,2,1.1,1,1,1150,1,11,16,15:45,14
2.0,Raffi Torres,14,0,2,15.2,30,99,11,LW,3.1,26,79,0,1.0,1,1,898,0,15,11,11:22,83
0.7,Mikkel Boedker,11,0,-2,12.8,22,86,13,LW,1.8,24,82,1,1.1,2,0,1118,0,11,12,13:38,12
0.1,Boyd Gordon,7,1,9,7.0,28,114,15,RW,1.7,23,75,0,1.7,2,0,1194,2,8,13,15:56,10
0.6,Taylor Pyatt,9,0,-4,8.1,30,111,10,LW,1.4,19,73,1,0.8,1,0,899,0,9,9,12:19,23
0.5,Kyle Chipchura,3,0,2,7.0,25,43,13,C,1.2,16,53,0,0.7,0,0,558,0,3,13,10:32,42
1.0,Gilbert Brule,4,0,7,8.9,25,56,9,C,1.7,14,33,0,0.7,0,1,382,0,5,9,11:34,11
0.3,Rostislav Klesla,3,0,13,3.4,29,87,10,D,4.1,13,65,0,3.8,0,0,1258,0,3,10,19:22,54
0.3,Michal Rozsival,1,0,8,2.0,33,49,12,D,3.2,13,54,0,2.9,0,0,1044,0,1,12,19:20,34
0.1,Derek Morris,2,0,-12,2.8,33,72,9,D,1.4,11,59,1,1.3,0,0,1120,0,2,8,18:59,38
0.3,David Schlemko,1,0,7,1.7,24,58,10,D,2.7,11,46,0,2.4,0,0,844,0,1,10,18:21,10
0.4,Antoine Vermette,1,0,4,7.0,29,43,7,C,1.0,10,22,0,0.6,1,2,377,0,3,7,17:07,16
-0.3,Adrian Aucoin,1,0,14,2.2,38,92,7,D,3.6,9,64,0,3.9,0,1,1296,0,2,7,20:15,42
0.0,Cal O'Reilly,1,0,-5,15.4,25,13,3,C,0.1,5,22,0,0.1,0,1,278,0,2,3,12:37,2
-0.1,Patrick O'Sullivan,2,0,-4,5.9,26,34,2,C,0.0,4,23,1,0.1,0,0,254,0,2,1,11:03,2
0.0,Marc Pouliot,0,0,-2,0.0,26,19,4,C,0.1,4,13,0,0.1,0,0,145,0,0,4,11:11,2
0.2,Michael Stone,1,0,7,7.7,21,13,2,D,1.2,3,13,0,1.0,0,0,180,0,1,2,13:53,2
0.2,David Rundblad,0,0,-1,0.0,21,8,3,D,0.3,3,6,1,0.1,0,0,85,0,0,2,14:07,0
0.0,Chris Summers,0,0,-4,0.0,23,10,3,D,0.2,3,21,0,0.2,0,0,261,0,0,3,12:27,11
0.0,Mike Smith,0,0,0,0.0,29,1,2,G,16.7,2,67,0,0.0,0,0,3903,0,0,0,58:15,16
-0.3,Paul Bissonnette,1,0,-4,6.7,26,15,0,LW,-0.3,1,31,0,0.0,1,0,188,0,1,0,6:04,41
0.0,Petteri Nokelainen,0,0,-1,0.0,26,3,1,C,0.0,1,5,0,0.0,0,0,55,0,0,1,10:58,0
0.0,Alexandre Bolduc,0,0,-1,0.0,26,1,0,C,-0.1,0,2,0,0.0,0,0,14,0,0,0,7:10,2
0.0,Jason LaBarbera,0,0,0,,32,0,0,G,2.8,0,19,0,0.0,0,0,1015,0,0,0,53:24,2
0.0,Curtis McElhinney,0,0,0,,28,0,0,G,0.4,0,2,0,0.0,0,0,72,0,0,0,35:53,0
-0.2,Andy Miele,0,0,-3,0.0,23,4,0,C,-0.2,0,7,0,-0.1,0,0,63,0,0,0,8:56,6
-0.2,Kyle Turris,0,0,-2,0.0,22,9,0,C,-0.2,0,6,0,0.0,0,0,76,0,0,0,12:45,4
0.0,Matt Watkins,0,0,-1,,25,0,0,RW,-0.1,0,1,0,0.0,0,0,7,0,0,0,6:37,0
