offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
7.0,Mike Bullard,36,0,-33,23.9,22,213,41,C,7.4,92,76,16,0.4,0,15,,0,51,25,,57
2.9,Doug Shedden,15,1,-38,13.8,22,159,35,C,3.1,57,67,11,0.2,1,6,,0,22,24,,20
3.2,Mark Taylor,14,1,-20,22.4,26,107,31,LW,3.7,55,59,9,0.5,1,9,,0,24,22,,24
2.4,Ron Flockhart,22,0,-19,13.4,23,202,18,RW,3.0,45,68,3,0.7,1,5,,0,27,15,,40
2.2,Rick Kehoe,11,0,-20,11.5,32,156,27,RW,2.6,45,57,11,0.5,3,7,,0,18,16,,8
0.9,Pat Boutette,4,0,-58,13.1,31,107,26,RW,0.7,40,73,8,-0.3,1,10,,2,14,16,,142
2.0,Andy Brickley,10,1,-7,24.0,22,75,20,LW,2.6,38,50,3,0.7,2,7,,1,18,16,,9
0.9,Greg Hotham,2,0,-25,4.2,27,120,25,D,3.6,30,76,8,2.8,0,3,,0,5,17,,59
0.7,Tom Roulston,8,0,-31,10.0,26,110,17,RW,0.8,28,53,7,0.1,0,3,,0,11,10,,8
1.0,Randy Carlyle,3,0,-25,2.8,27,107,23,D,2.4,26,50,19,1.4,1,0,,0,3,4,,82
-0.4,Bob Errey,8,0,-20,10.7,19,84,13,LW,0.2,22,65,2,0.6,0,1,,0,9,11,,29
1.0,Kevin McCarthy,3,0,-32,7.0,26,57,16,D,1.0,20,31,6,0.0,0,1,,0,4,10,,52
1.0,Norm Schmidt,6,0,-1,10.7,21,56,12,D,2.7,18,34,0,1.8,0,0,,0,6,12,,12
-0.4,Gary Rissling,3,0,-9,10.0,27,40,13,LW,0.2,17,47,2,0.6,1,1,,0,4,11,,297
0.3,Bryan Maxwell,3,0,2,5.5,28,55,12,D,2.8,15,45,4,2.5,0,0,,1,3,7,,84
-0.7,Tom O'Regan,4,0,-22,9.1,22,44,10,C,-0.4,14,51,0,0.3,0,0,,0,4,10,,8
-0.1,Tim Hrynewich,4,0,-10,16.7,20,24,5,LW,0.1,9,25,0,0.2,2,0,,0,4,5,,34
-0.7,Marty McSorley,2,0,-39,2.7,20,75,7,D,1.1,9,72,0,1.8,0,0,,0,2,7,,224
0.4,Tom Thornbury,1,0,-19,2.3,20,44,8,D,0.2,9,14,6,-0.2,0,0,,0,1,2,,16
0.0,Warren Young,1,0,-2,8.3,28,12,7,C,0.2,8,15,0,0.2,0,0,,0,1,7,,19
-0.4,Greg Fox,2,0,-42,7.4,30,27,5,D,0.1,7,49,0,0.5,0,0,,0,2,5,,66
-0.3,Steve Gatzos,3,0,-9,10.3,22,29,3,RW,-0.1,6,23,0,0.2,1,0,,0,3,3,,15
-0.4,Rod Buskas,1,0,-18,5.1,23,39,4,D,1.2,6,47,1,1.6,0,1,,0,2,3,,60
-0.4,Kevin McClelland,0,2,-7,5.0,21,40,4,C,-0.1,6,24,0,0.2,0,0,,1,2,3,,62
0.2,Bob Gladney,1,0,-1,6.7,26,15,5,D,0.9,6,13,1,0.6,0,0,,0,1,4,,2
-0.5,Ted Bulley,3,0,-14,11.1,28,27,2,LW,-0.4,5,26,0,0.1,1,0,,0,3,2,,12
-0.4,Dave Hannan,1,1,-2,9.5,22,21,3,C,-0.1,5,24,0,0.4,1,0,,0,2,3,,33
-0.3,Paul Gardner,0,0,-4,0.0,27,21,5,C,-0.1,5,16,4,0.2,0,0,,0,0,1,,6
0.0,Jim Hamilton,1,0,2,9.5,27,21,2,RW,0.2,4,11,0,0.2,0,1,,0,2,2,,4
