assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
72,7,50,31,,12.8,1.7,32,,22,LW,14.5,47,PIT,/players/l/lemiema01.html,3,65,15,27,Mario Lemieux,15.3,1997,122,3,76,327
48,6,47,24,,10.6,1.4,34,,14,RW,12.0,33,PIT,/players/j/jagrja01.html,1,40,11,22,Jaromir Jagr,20.1,1997,95,2,63,234
63,2,27,33,,7.6,1.0,16,,24,C,8.6,38,PIT,/players/f/francro01.html,1,20,10,7,Ron Francis,14.8,1997,90,1,81,183
38,4,33,25,,6.7,0.6,18,,14,C,7.3,24,PIT,/players/n/nedvepe01.html,0,66,12,-2,Petr Nedved,17.5,1997,71,3,74,189
39,1,15,30,,4.8,3.4,6,,16,D,8.2,22,PIT,/players/h/hatchke01.html,1,103,9,11,Kevin Hatcher,7.5,1997,54,0,80,199
22,3,17,26,,2.7,-0.1,13,,3,C,2.6,18,PIT,/players/b/barnest01.html,1,16,4,-20,Stu Barnes,12.9,1997,39,0,62,132
30,1,6,27,,2.7,2.1,4,,13,D,4.8,17,PIT,/players/w/woollja01.html,0,28,2,3,Jason Woolley,7.6,1997,36,0,57,79
20,3,7,30,,2.1,3.2,5,,9,D,5.3,11,PIT,/players/o/olausfr01.html,0,24,2,21,Fredrik Olausson,9.3,1997,27,0,51,75
15,0,9,32,,1.5,0.5,7,,4,RW,2.0,11,PIT,/players/s/sandsto01.html,0,33,1,4,Tomas Sandstrom,12.3,1997,24,1,40,73
11,1,11,24,,0.5,0.0,8,,1,RW,0.4,10,PIT,/players/m/murragl01.html,0,24,3,-19,Glen Murray,8.7,1997,22,0,66,127
15,1,7,39,,0.6,0.5,6,,4,RW,1.1,11,PIT,/players/m/mullejo01.html,0,4,1,0,Joe Mullen,11.1,1997,22,0,54,63
15,3,5,27,,0.2,0.3,5,,0,C,0.5,15,PIT,/players/h/hicksal01.html,0,76,0,-6,Alex Hicks,8.8,1997,20,0,55,57
9,1,9,25,,0.2,0.4,9,,0,LW,0.6,9,PIT,/players/d/dziedjo01.html,0,63,0,-4,Joe Dziedzic,10.6,1997,18,0,59,85
16,0,2,24,,0.7,3.6,2,,1,D,4.3,14,PIT,/players/k/kaspada01.html,1,84,0,24,Darius Kasparaitis,4.3,1997,18,0,57,46
14,1,3,31,,0.8,1.4,3,,5,D,2.2,9,PIT,/players/d/daignjj01.html,0,36,0,-5,J.J. Daigneault,6.1,1997,17,0,53,49
9,0,7,25,,0.9,-0.1,6,,1,RW,0.7,6,PIT,/players/j/johnsgr02.html,2,14,1,-13,Greg Johnson,13.5,1997,16,0,32,52
7,0,4,30,,0.9,0.4,4,,2,RW,1.3,5,PIT,/players/o/olczyed01.html,0,6,0,8,Ed Olczyk,13.8,1997,11,0,12,29
5,0,5,21,,-1.0,0.1,3,,1,LW,-0.9,4,PIT,/players/r/rocheda02.html,0,155,2,-13,Dave Roche,9.4,1997,10,0,61,53
5,0,4,24,,0.5,0.4,4,,2,D,0.9,3,PIT,/players/m/morania01.html,0,22,0,-11,Ian Moran,8.0,1997,9,0,36,50
7,0,2,23,,0.0,0.1,2,,0,C,0.0,7,PIT,/players/j/johanan01.html,0,20,0,-6,Andreas Johansson,5.3,1997,9,0,27,38
4,0,3,29,,0.3,0.0,3,,0,LW,0.2,3,PIT,/players/v/valkga01.html,1,25,0,-6,Garry Valk,9.4,1997,7,0,17,32
4,0,2,26,,-0.2,-0.3,1,,0,D,-0.4,4,PIT,/players/t/tamerch01.html,0,131,0,-25,Chris Tamer,3.6,1997,6,1,45,56
5,1,1,31,,0.3,0.2,1,,2,D,0.6,3,PIT,/players/m/mirondm01.html,0,24,0,-4,Dmitri Mironov,5.3,1997,6,0,15,19
4,0,1,23,,-0.8,0.4,1,,0,RW,-0.4,4,PIT,/players/s/stojaal01.html,0,79,0,3,Alek Stojanov,9.1,1997,5,0,35,11
1,0,3,27,,0.3,0.0,2,,0,LW,0.4,1,PIT,/players/b/beranjo01.html,0,4,1,-1,Josef Beranek,20.0,1997,4,0,8,15
2,0,2,26,,0.1,0.0,2,,0,LW,0.1,2,PIT,/players/c/chrisje01.html,0,13,0,-3,Jeff Christian,11.1,1997,4,0,11,18
2,2,2,23,,-1.2,0.2,2,,0,C,-1.0,2,PIT,/players/w/wrighty01.html,0,70,0,-7,Tyler Wright,6.7,1997,4,0,45,30
3,0,1,32,,0.1,-0.1,1,,3,RW,0.1,0,PIT,/players/k/klimape01.html,0,4,0,-4,Petr Klima,4.8,1997,4,0,9,21
4,0,0,34,,-0.9,1.7,0,,0,D,0.8,3,PIT,/players/m/municr01.html,1,36,0,-6,Craig Muni,0.0,1997,4,0,64,19
3,0,0,26,,-0.9,1.7,0,,0,D,0.9,3,PIT,/players/l/leroufr01.html,0,81,0,-3,Francois Leroux,0.0,1997,3,0,59,5
3,0,0,31,,-0.3,-0.1,0,,0,C,-0.4,3,PIT,/players/q/quinnda01.html,0,10,0,-6,Dan Quinn,0.0,1997,3,0,16,16
1,0,0,32,,0.0,0.0,0,,0,G,7.1,0,PIT,/players/w/wreggke01.html,0,6,0,0,Ken Wregget,,1997,1,0,46,0
0,0,0,26,,-0.5,0.1,0,,0,LW,-0.4,0,PIT,/players/a/antossh01.html,0,49,0,0,Shawn Antoski,0.0,1997,0,0,13,3
0,0,0,31,,0.0,0.0,0,,0,G,0.2,0,PIT,/players/b/barrato01.html,0,0,0,0,Tom Barrasso,,1997,0,0,5,0
0,0,0,21,,-0.1,0.1,0,,0,D,0.0,0,PIT,/players/b/bergkst01.html,0,7,0,-1,Stefan Bergkvist,,1997,0,0,5,0
0,0,0,22,,0.0,0.0,0,,0,G,0.4,0,PIT,/players/d/derouph01.html,0,0,0,0,Philippe DeRouville,,1997,0,0,2,0
0,0,0,22,,0.0,0.0,0,,0,G,7.3,0,PIT,/players/l/lalimpa01.html,0,0,0,0,Patrick Lalime,,1997,0,0,39,0
0,0,0,26,,-0.3,-0.1,0,,0,RW,-0.3,0,PIT,/players/o/oksiuro01.html,0,4,0,-4,Roman Oksiuta,0.0,1997,0,0,7,10
0,0,0,20,,0.0,0.0,0,,0,C,-0.1,0,PIT,/players/p/parkri01.html,0,0,0,-1,Richard Park,0.0,1997,0,0,1,1
0,0,0,24,,-0.2,0.1,0,,0,RW,-0.2,0,PIT,/players/p/patteed01.html,0,8,0,0,Ed Patterson,0.0,1997,0,0,6,2
0,0,0,22,,0.0,0.0,0,,0,C,-0.1,0,PIT,/players/p/pittido01.html,0,0,0,-1,Domenic Pittis,,1997,0,0,1,0
0,0,0,29,,-0.5,-0.1,0,,0,D,-0.5,0,PIT,/players/w/wilkine01.html,0,36,0,-12,Neil Wilkinson,0.0,1997,0,0,23,16
