shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,19:53,C,17.3,34,255,30,0,29,5,44,45,Sidney Crosby,12.3,1.7,89,14,24,1491,75,17,10.5,11,/players/c/crosbsi01.html
0,18:37,C,17.3,27,191,22,0,30,6,33,39,Evgeni Malkin,9.9,1.6,72,11,77,1154,62,18,8.4,12,/players/m/malkiev01.html
0,17:56,RW,10.0,25,229,15,0,29,4,23,47,Phil Kessel,7.3,1.1,70,8,20,1471,82,3,6.1,22,/players/k/kesseph01.html
0,15:56,LW,14.9,27,154,21,0,24,6,23,30,Conor Sheary,7.3,1.7,53,2,22,972,61,24,5.7,3,/players/s/shearco01.html
0,20:27,D,7.8,22,154,9,0,26,1,12,39,Justin Schultz,9.2,4.2,51,3,34,1595,78,27,5.0,17,/players/s/schulju01.html
0,15:57,RW,9.4,16,223,11,0,30,6,21,23,Patric Hornqvist,5.5,1.4,44,10,28,1117,70,16,4.0,7,/players/h/hornqpa01.html
1,16:39,C,12.7,14,142,11,0,28,1,18,19,Nick Bonino,3.0,0.7,37,6,16,1332,80,-5,2.3,5,/players/b/boninni01.html
0,25:31,D,4.1,16,122,3,1,29,2,5,29,Kris Letang,4.5,1.5,34,2,32,1046,41,2,3.0,12,/players/l/letankr01.html
0,15:53,C,19.8,15,81,15,0,22,0,16,17,Jake Guentzel,4.4,0.7,33,1,10,635,40,7,3.6,2,/players/g/guentja01.html
2,13:55,C,14.0,16,93,9,0,40,2,13,18,Matt Cullen,2.9,0.9,31,2,30,1002,72,4,2.0,2,/players/c/cullema01.html
0,15:31,LW,6.7,15,134,9,0,37,3,9,20,Chris Kunitz,1.9,0.8,29,0,36,1101,71,0,1.1,5,/players/k/kunitch01.html
0,13:38,RW,13.6,12,110,15,1,24,1,15,13,Bryan Rust,3.3,0.7,28,0,8,777,57,4,2.6,0,/players/r/rustbr01.html
0,10:57,LW,6.3,18,127,8,0,24,1,8,18,Scott Wilson,2.0,0.6,26,0,32,854,78,0,1.4,0,/players/w/wilsosc01.html
0,19:49,D,5.6,20,89,5,0,27,1,5,21,Ian Cole,5.6,4.2,26,0,72,1605,81,26,1.4,1,/players/c/coleia01.html
0,15:29,LW,4.7,15,128,6,1,28,2,6,16,Carl Hagelin,1.5,1.1,22,0,16,945,61,10,0.4,0,/players/h/hagelca01.html
0,20:23,D,6.0,10,84,4,1,33,0,5,14,Trevor Daley,3.2,2.0,19,1,37,1141,56,7,1.2,3,/players/d/daleytr01.html
1,10:39,RW,8.2,11,49,3,1,25,0,4,12,Tom Kuhnhackl,1.3,0.8,16,0,18,607,57,8,0.5,0,/players/k/kuhnhto01.html
0,20:33,D,1.3,10,78,1,0,25,0,1,14,Brian Dumoulin,1.7,1.8,15,0,14,1438,70,0,0.0,4,/players/d/dumoubr01.html
0,10:56,C,9.8,5,61,6,0,31,3,6,5,Eric Fehr,0.8,0.5,11,0,14,568,52,3,0.3,0,/players/f/fehrer01.html
