assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
65,1,29,22,,7.1,1.1,20,,25,C,8.1,36,QUE,/players/s/sakicjo01.html,4,20,6,5,Joe Sakic,13.4,1992,94,3,69,217
43,2,33,20,,5.5,0.5,23,,12,RW,6.0,31,QUE,/players/s/sundima01.html,0,103,8,-19,Mats Sundin,14.3,1992,76,2,80,231
31,0,42,19,,6.2,0.7,25,,7,RW,6.9,24,QUE,/players/n/nolanow01.html,0,183,17,-9,Owen Nolan,22.1,1992,73,0,75,190
17,4,28,30,,2.7,0.7,22,,7,RW,3.4,9,QUE,/players/p/paslagr01.html,1,18,5,-12,Greg Paslawski,20.9,1992,45,1,80,134
22,1,16,28,,1.9,0.8,8,,6,LW,2.7,15,QUE,/players/h/houghmi01.html,1,77,6,-1,Mike Hough,17.4,1992,38,2,61,92
27,1,11,25,,2.5,3.5,6,,9,D,6.0,14,QUE,/players/t/tatarmi01.html,4,72,5,8,Mikhail Tatarinov,5.8,1992,38,0,66,191
20,2,13,23,,0.6,0.8,11,,1,C,1.5,18,QUE,/players/l/lapoicl01.html,1,86,0,-8,Claude Lapointe,13.7,1992,33,2,78,95
18,1,10,34,,1.2,0.3,9,,2,LW,1.5,14,QUE,/players/s/smaildo01.html,2,47,0,-11,Doug Smail,13.9,1992,28,1,46,72
18,1,5,27,,0.8,2.6,2,,5,D,3.4,12,QUE,/players/g/gusaral01.html,1,22,3,-9,Alexei Gusarov,7.6,1992,23,0,68,66
14,1,7,25,,1.3,0.3,5,,7,LW,1.6,7,QUE,/players/k/kamenva01.html,0,14,2,-1,Valeri Kamensky,16.7,1992,21,0,23,42
14,0,6,24,,-0.3,0.7,6,,1,RW,0.4,13,QUE,/players/r/raglahe01.html,0,120,0,-5,Herb Raglan,7.6,1992,20,0,62,79
10,1,7,25,,-0.1,0.6,4,,2,C,0.5,8,QUE,/players/b/bakerja01.html,0,32,3,-5,Jamie Baker,9.1,1992,17,0,52,77
12,1,5,22,,0.9,0.3,2,,7,D,1.2,5,QUE,/players/l/leschcu01.html,0,42,3,-28,Curtis Leschyshyn,8.2,1992,17,0,42,61
9,0,6,22,,1.1,1.0,4,,5,D,2.1,4,QUE,/players/l/lambeda01.html,0,22,2,-5,Dan Lambert,14.3,1992,15,0,28,42
10,2,5,22,,0.2,-0.1,4,,1,C,0.1,9,QUE,/players/m/milleki01.html,0,12,1,-21,Kip Miller,10.9,1992,15,0,36,46
12,0,3,22,,1.0,0.0,3,,7,D,1.0,5,QUE,/players/f/fogarbr01.html,0,16,0,-15,Bryan Fogarty,10.0,1992,15,0,20,30
9,1,5,25,,0.0,0.3,3,,0,C,0.3,9,QUE,/players/f/fortima01.html,0,33,2,-7,Marc Fortier,11.9,1992,14,0,39,42
11,0,2,24,,-0.2,2.5,2,,0,D,2.2,10,QUE,/players/w/wolancr01.html,1,80,0,-12,Craig Wolanin,2.8,1992,13,0,69,71
7,0,4,25,,-0.2,2.5,4,,3,D,2.3,4,QUE,/players/f/finnst01.html,0,194,0,-9,Steven Finn,6.3,1992,11,0,65,63
8,0,2,22,,-0.2,0.3,2,,0,C,0.1,8,QUE,/players/m/morinst01.html,0,14,0,-2,Stephane Morin,4.9,1992,10,0,30,41
5,0,3,30,,-0.1,0.5,3,,1,LW,0.4,4,QUE,/players/v/vandowa01.html,0,109,0,5,Wayne Van Dorp,15.8,1992,8,0,24,19
7,0,1,29,,0.0,0.2,1,,3,LW,0.2,4,QUE,/players/c/cavalgi01.html,0,4,0,-1,Gino Cavallini,2.6,1992,8,0,18,39
5,0,2,20,,-0.2,1.9,2,,1,D,1.6,4,QUE,/players/f/footead01.html,0,44,0,-4,Adam Foote,3.6,1992,7,0,46,55
4,1,2,20,,-0.2,0.1,2,,0,LW,-0.1,4,QUE,/players/l/lindsbi01.html,0,14,0,-6,Bill Lindsay,5.7,1992,6,0,23,35
4,0,2,34,,-0.1,0.0,0,,2,LW,0.0,2,QUE,/players/t/toneljo01.html,0,14,2,-7,John Tonelli,12.5,1992,6,0,19,16
3,0,2,29,,-0.2,1.6,2,,0,D,1.3,2,QUE,/players/v/velisra01.html,1,22,0,-3,Randy Velischek,8.7,1992,5,0,38,23
4,0,1,25,,-0.5,0.1,0,,3,LW,-0.4,1,QUE,/players/m/mcneimi01.html,0,8,1,-8,Mike McNeill,6.7,1992,5,0,26,15
2,0,1,22,,-0.1,0.0,1,,1,LW,-0.1,1,QUE,/players/p/pearssc01.html,0,14,0,-5,Scott Pearson,7.1,1992,3,0,10,14
1,0,1,20,,0.1,0.1,1,,0,LW,0.2,1,QUE,/players/r/rucinma01.html,0,2,0,1,Martin Rucinsky,25.0,1992,2,0,4,4
2,0,0,26,,-0.5,0.2,0,,0,RW,-0.4,2,QUE,/players/k/kordijo01.html,0,115,0,-3,John Kordic,0.0,1992,2,0,18,3
