assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
38,3,41,29,19:51,8.8,2.8,24,1628,15,C,11.5,22,SJS,/players/p/paveljo01.html,1,32,16,23,Joe Pavelski,18.2,2014,79,1,82,225
65,3,11,34,18:56,5.3,2.6,9,1552,17,C,7.9,47,SJS,/players/t/thornjo01.html,1,32,2,20,Joe Thornton,9.0,2014,76,0,82,122
37,4,33,34,20:31,6.7,1.8,20,1683,12,LW,8.6,25,SJS,/players/m/marlepa01.html,0,18,11,0,Patrick Marleau,11.6,2014,70,2,82,285
31,6,23,24,18:56,5.0,2.3,17,1231,9,C,7.2,20,SJS,/players/c/coutulo01.html,2,20,4,21,Logan Couture,9.9,2014,54,2,65,233
26,3,22,28,16:49,4.5,2.4,20,1160,9,RW,6.9,17,SJS,/players/b/burnsbr01.html,0,34,2,26,Brent Burns,9.0,2014,48,0,69,245
22,7,16,25,16:07,2.5,1.8,14,1241,5,C,4.3,16,SJS,/players/w/wingeto01.html,1,35,0,11,Tommy Wingels,9.8,2014,38,2,77,163
24,1,12,37,21:17,3.3,2.6,6,1596,12,D,6.0,12,SJS,/players/b/boyleda01.html,0,32,6,-8,Dan Boyle,7.8,2014,36,0,75,154
29,0,5,25,19:29,2.5,4.2,4,1462,8,D,6.7,20,SJS,/players/d/demerja01.html,1,30,1,14,Jason Demers,4.8,2014,34,0,75,105
10,3,15,20,15:20,2.9,1.1,12,567,0,C,3.9,10,SJS,/players/h/hertlto01.html,0,4,3,11,Tomas Hertl,15.3,2014,25,0,37,98
14,2,10,21,14:05,1.2,0.8,9,929,3,LW,2.0,11,SJS,/players/n/nietoma01.html,0,16,1,-4,Matthew Nieto,8.1,2014,24,0,66,124
19,0,5,26,20:43,1.1,6.1,4,1678,1,D,7.3,17,SJS,/players/v/vlasima01.html,1,38,0,31,Marc-Edouard Vlasic,3.6,2014,24,1,81,138
10,2,12,32,14:43,1.8,1.4,11,707,1,RW,3.2,9,SJS,/players/h/havlama01.html,0,10,1,14,Martin Havlat,16.7,2014,22,0,48,72
16,0,4,25,12:10,0.4,1.0,4,815,1,LW,1.4,15,SJS,/players/s/sheppja01.html,0,35,0,3,James Sheppard,4.8,2014,20,0,67,84
17,0,2,26,18:49,1.0,2.8,1,1167,6,D,3.8,12,SJS,/players/i/irwinma01.html,0,35,1,5,Matt Irwin,1.4,2014,19,0,62,147
13,1,4,26,20:59,0.2,5.2,3,1721,0,D,5.4,13,SJS,/players/b/braunju01.html,0,20,1,19,Justin Braun,3.3,2014,17,0,82,121
13,1,4,27,12:43,-0.1,0.5,4,852,1,RW,0.4,12,SJS,/players/k/kennety01.html,0,34,0,-10,Tyler Kennedy,2.8,2014,17,0,67,143
14,1,3,27,11:09,-0.3,0.6,3,903,0,C,0.3,14,SJS,/players/d/desjaan01.html,0,86,0,-8,Andrew Desjardins,3.2,2014,17,0,81,95
9,0,3,35,17:46,0.4,2.1,3,995,0,D,2.6,8,SJS,/players/h/hannasc01.html,1,55,0,1,Scott Hannan,5.8,2014,12,0,56,52
8,3,3,34,19:10,0.1,2.8,3,1169,0,D,2.9,8,SJS,/players/s/stuarbr02.html,0,35,0,4,Brad Stuart,4.7,2014,11,0,61,64
2,0,3,32,13:12,0.0,0.3,2,330,0,LW,0.2,2,SJS,/players/k/kearnbr01.html,0,6,1,-2,Bracken Kearns,8.1,2014,5,0,25,37
2,0,3,32,10:22,0.7,0.2,3,52,0,LW,1.0,2,SJS,/players/t/torrera01.html,0,7,0,4,Raffi Torres,33.3,2014,5,0,5,9
3,0,2,28,7:22,-0.2,0.0,2,354,0,RW,-0.3,3,SJS,/players/b/brownmi02.html,0,75,0,-10,Mike Brown,4.5,2014,5,0,48,44
1,0,1,27,11:03,-0.8,0.0,1,398,0,C,-0.8,1,SJS,/players/m/mccarjo01.html,0,4,0,-11,John McCarthy,2.0,2014,2,0,36,49
2,0,0,30,58:27,0.0,0.0,0,3740,0,G,10.1,2,SJS,/players/n/niemian02.html,0,0,0,0,Antti Niemi,,2014,2,0,64,0
0,0,1,25,7:50,-0.1,0.0,1,118,0,RW,-0.1,0,SJS,/players/h/hayeser01.html,0,2,0,-2,Eriah Hayes,5.9,2014,1,0,15,17
0,1,1,26,3:56,0.2,0.1,1,24,0,RW,0.2,0,SJS,/players/p/pelecma01.html,0,22,0,1,Matt Pelech,33.3,2014,1,0,6,3
0,0,0,31,9:37,-0.4,0.0,0,144,0,RW,-0.4,0,SJS,/players/b/burisad01.html,0,6,0,-4,Adam Burish,0.0,2014,0,0,15,9
0,0,0,22,10:19,-0.3,-0.1,0,114,0,C,-0.4,0,SJS,/players/h/hamilfr01.html,0,2,0,-5,Freddie Hamilton,0.0,2014,0,0,11,13
0,0,0,26,52:09,0.0,0.0,0,1252,0,G,4.7,0,SJS,/players/s/staloal01.html,0,2,0,0,Alex Stalock,,2014,0,0,24,0
