offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
6.5,Craig Janney,16,0,-4,17.5,25,137,82,C,7.7,106,84,36,1.2,6,8,,0,24,46,,12
8.5,Brett Hull,25,0,-27,13.8,28,390,47,RW,9.1,101,80,29,0.5,2,29,,0,54,18,,41
8.1,Brendan Shanahan,33,0,10,22.0,24,232,43,LW,9.5,94,71,19,1.4,8,18,,0,51,24,,174
6.2,Jeff Brown,11,2,-6,11.4,26,220,53,D,10.0,78,71,34,3.8,3,12,,2,25,17,,58
4.0,Nelson Emerson,15,2,2,11.2,25,196,51,RW,5.3,73,82,34,1.4,4,5,,0,22,17,,62
2.5,Kevin Miller,13,3,6,15.7,27,153,22,LW,3.8,46,72,3,1.3,4,8,,2,24,17,,65
-0.2,Rich Sutter,11,2,-4,8.8,29,148,14,RW,1.0,27,84,0,1.2,1,0,,3,13,11,,100
0.7,Ron Sutter,8,0,-11,13.3,29,90,15,C,1.3,27,59,5,0.6,3,4,,0,12,10,,99
-0.5,Igor Korolev,2,0,-1,5.3,22,76,23,RW,0.6,27,74,3,1.2,0,2,,0,4,20,,20
0.1,Bob Bassen,8,1,0,14.8,27,61,10,C,0.9,19,53,0,0.9,0,0,,2,9,8,,63
-1.0,Ron Wilson,5,3,-8,10.7,36,75,11,C,0.1,19,78,1,1.0,1,0,,4,8,6,,44
-0.3,Garth Butcher,5,0,0,6.0,30,83,10,D,4.6,15,84,0,4.9,2,0,,0,5,10,,211
-0.4,Rick Zombo,0,0,-2,0.0,29,43,15,D,3.7,15,71,0,4.0,0,0,,2,0,13,,78
-0.9,Dave Lowry,5,0,-18,8.5,27,59,8,LW,-0.4,13,58,0,0.4,0,0,,0,5,8,,101
-0.7,Philippe Bozon,6,0,-3,6.7,26,90,6,LW,0.1,12,54,0,0.8,0,0,,0,6,6,,55
-0.7,Stephane Quintal,0,1,-6,1.2,24,81,10,D,3.4,11,75,0,4.0,0,0,,2,1,8,,100
0.3,Lee Norwood,1,0,-5,8.3,32,36,7,D,1.9,10,32,4,1.6,0,2,,0,3,3,,63
0.4,Doug Crossman,0,0,-3,8.3,32,24,7,D,1.4,9,19,4,0.9,0,2,,0,2,3,,10
-0.3,Bret Hedican,0,0,-2,0.0,22,40,8,D,2.1,8,42,1,2.3,0,0,,0,0,7,,30
-1.2,Kelly Chase,2,0,-9,7.1,25,28,5,RW,-0.7,7,49,0,0.5,0,0,,0,2,5,,204
-0.3,Vitali Prokhorov,4,0,-4,19.0,26,21,1,RW,0.0,5,26,0,0.3,1,0,,0,4,1,,15
0.2,Paul Cavallini,0,0,3,4.5,27,22,4,D,1.0,5,11,1,0.8,0,1,,0,1,3,,10
-0.1,David Mackey,1,0,-3,5.9,26,17,4,LW,0.0,5,15,0,0.2,0,0,,0,1,4,,23
-0.7,Murray Baron,2,0,-5,4.8,25,42,2,D,2.2,4,53,0,2.8,1,0,,0,2,2,,59
-0.9,Basil McRae,0,0,-13,4.5,32,22,3,LW,-0.7,4,33,0,0.2,0,1,,0,1,3,,98
0.1,Kevin Miehm,1,0,1,20.0,23,5,3,C,0.2,4,8,0,0.2,0,0,,0,1,3,,4
-0.7,Curt Giles,0,0,-2,0.0,34,23,4,D,2.0,4,48,2,2.7,0,0,,0,0,2,,40
0.1,Jason Ruff,1,0,-1,28.6,23,7,1,LW,0.2,3,7,0,0.1,1,1,,0,2,1,,8
0.0,Denny Felsner,0,0,4,0.0,22,4,3,LW,0.2,3,6,0,0.2,0,0,,0,0,3,,2
0.0,Curtis Joseph,0,0,0,,25,0,2,G,16.2,2,68,0,0.0,0,0,,0,0,0,,8
-0.2,Vitali Karamnov,0,0,-2,0.0,24,7,1,LW,-0.1,1,7,0,0.1,0,0,,0,0,1,,0
0.0,Daniel Laperriere,0,0,-3,0.0,23,7,1,D,0.1,1,5,0,0.1,0,0,,0,0,1,,0
0.0,Guy Hebert,0,0,0,,26,0,0,G,3.2,0,24,0,0.0,0,0,,0,0,0,,2
