shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,19:11,C,16.5,25,212,24,0,27,10,35,43,Pavol Demitra,10.1,2.3,78,11,46,1573,82,13,7.8,18,/players/d/demitpa01.html
0,19:38,LW,15.6,29,244,25,0,29,7,38,37,Keith Tkachuk,10.7,2.5,75,13,117,1433,73,21,8.2,8,/players/t/tkachke01.html
0,19:48,C,11.5,22,131,12,0,31,1,15,34,Doug Weight,5.7,2.2,49,3,40,1208,61,20,3.5,12,/players/w/weighdo01.html
1,29:28,D,3.4,16,204,2,0,27,3,7,40,Chris Pronger,10.4,7.0,47,4,120,2299,78,23,3.4,24,/players/p/prongch01.html
0,26:56,D,4.8,19,231,5,0,38,4,11,35,Al MacInnis,8.6,4.5,46,6,52,1912,71,3,4.1,16,/players/m/macinal01.html
0,15:03,LW,16.4,14,140,17,0,28,4,23,22,Cory Stillman,5.7,1.7,45,6,36,1204,80,8,4.0,8,/players/s/stillco01.html
0,18:31,RW,9.0,16,210,14,0,34,1,19,22,Scott Young,4.9,1.9,41,5,26,1240,67,11,3.0,6,/players/y/youngsc01.html
0,15:40,RW,10.9,16,137,7,0,35,2,15,26,Scott Mellanby,4.2,0.9,41,8,93,1003,64,-5,3.2,10,/players/m/mellasc01.html
3,13:26,LW,9.5,15,116,7,0,32,2,11,15,Dallas Drake,2.5,1.6,26,1,87,1075,80,8,1.0,0,/players/d/drakeda01.html
0,17:13,D,3.4,10,87,3,0,30,0,3,21,Alexander Khavanov,5.3,3.8,24,0,55,1395,81,9,1.4,11,/players/k/khavaal01.html
1,11:36,C,8.6,8,105,8,0,27,0,9,8,Jamal Mayers,1.7,1.4,17,0,99,893,77,9,0.3,0,/players/m/mayerja01.html
0,12:55,C,11.7,8,60,7,2,34,2,7,10,Mike Eastwood,1.0,1.0,17,0,41,917,71,-2,0.0,0,/players/e/eastwmi01.html
0,10:03,LW,9.1,7,66,6,0,26,1,6,7,Tyson Nash,1.1,0.8,13,0,100,643,64,2,0.3,0,/players/n/nashty01.html
0,16:55,D,13.5,7,37,4,0,25,2,5,7,Bryce Salvador,3.4,2.7,12,1,78,1117,66,3,0.7,0,/players/s/salvabr01.html
0,11:10,LW,6.0,7,83,5,0,23,0,5,7,Sergei Varlamov,1.0,0.8,12,0,26,581,52,4,0.2,0,/players/v/varlase01.html
0,11:13,C,16.0,5,25,3,0,23,2,4,7,Daniel Corso,1.0,0.6,11,1,6,460,41,3,0.3,2,/players/c/corsoda01.html
0,14:05,C,22.2,3,27,4,0,37,1,6,4,Ray Ferraro,1.5,0.3,10,2,8,211,15,2,1.1,1,/players/f/ferrara01.html
0,14:19,RW,8.5,6,47,3,0,34,0,4,6,Mike Keane,0.1,0.8,10,1,22,801,56,-2,-0.7,0,/players/k/keanemi01.html
0,16:23,D,3.8,8,52,2,0,22,1,2,8,Mike Van Ryn,3.0,2.6,10,0,18,786,48,10,0.5,0,/players/v/vanrymi01.html
0,15:09,RW,8.3,4,24,2,0,33,0,2,4,Shjon Podein,0.4,0.5,6,0,2,349,23,2,-0.1,0,/players/p/podeish01.html
0,18:32,D,0.0,5,39,0,1,34,0,0,6,Jeff Finley,3.3,4.2,6,0,30,1445,78,12,-0.9,0,/players/f/finleje01.html
0,5:22,RW,0.0,5,25,0,0,25,0,0,5,Reed Low,-0.1,0.2,5,0,160,311,58,-3,-0.3,0,/players/l/lowre01.html
0,60:08,G,0.0,0,1,0,0,24,0,0,4,Brent Johnson,7.1,0.0,4,0,2,3487,58,0,0.0,0,/players/j/johnsbr02.html
0,12:15,D,0.0,3,13,0,0,36,0,0,3,Marc Bergevin,1.2,1.3,3,0,2,368,30,6,-0.1,0,/players/b/bergema01.html
0,15:56,D,0.0,2,29,0,0,31,0,0,3,Sean Hill,0.8,0.9,3,0,28,367,23,1,-0.1,1,/players/h/hillse01.html
0,9:50,LW,0.0,3,14,0,0,23,0,0,3,Mark Rycroft,0.2,0.1,3,0,4,88,9,0,0.1,0,/players/r/rycroma01.html
0,12:45,D,0.0,2,3,0,0,33,0,0,2,Rich Pilon,0.3,0.1,2,0,9,102,8,-1,0.1,0,/players/p/pilonri01.html
0,11:42,C,0.0,0,10,0,0,26,0,0,1,Eric Boguniecki,-0.1,0.0,1,0,4,94,8,-2,-0.2,1,/players/b/boguner01.html
0,13:54,D,0.0,1,6,0,0,25,0,0,1,Christian Laflamme,0.5,0.5,1,0,4,111,8,3,0.0,0,/players/l/laflach01.html
0,57:51,G,0.0,0,1,0,0,29,0,0,0,Fred Brathwaite,2.9,0.0,0,0,0,1446,25,0,0.0,0,/players/b/brathfr01.html
0,25:06,G,,0,0,0,0,26,0,0,0,Reinhard Divis,0.1,0.0,0,0,0,25,1,0,0.0,0,/players/d/divisre01.html
0,9:17,LW,,0,0,0,0,32,0,0,0,Ted Donato,-0.1,-0.1,0,0,2,19,2,-2,-0.1,0,/players/d/donatte01.html
0,18:56,D,0.0,0,1,0,0,20,0,0,0,Barret Jackman,0.0,0.0,0,0,0,19,1,0,0.0,0,/players/j/jackmba01.html
0,8:40,C,,0,0,0,0,22,0,0,0,Justin Papineau,-0.1,-0.1,0,0,0,9,1,-2,0.0,0,/players/p/papinju01.html
