offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.6,Brad Richards,12,4,0,8.2,25,282,68,C,8.0,91,82,39,2.4,0,7,1866,1,23,28,22:45,32
5.7,Vinny Prospal,15,0,-3,10.6,30,236,55,LW,7.5,80,81,17,1.9,3,10,1553,0,25,38,19:10,50
6.0,Vincent Lecavalier,20,2,0,11.3,25,309,40,C,8.1,75,80,19,2.0,7,13,1610,1,35,20,20:08,90
4.0,Martin St. Louis,19,3,-3,14.0,30,221,30,RW,6.1,61,80,11,2.0,7,9,1679,1,31,18,20:59,38
3.9,Fredrik Modin,18,1,5,14.0,31,221,23,LW,6.0,54,77,4,2.1,4,12,1508,2,31,17,19:35,56
4.4,Dan Boyle,9,0,-8,9.8,29,153,38,D,8.2,53,79,19,3.8,4,6,1851,0,15,19,23:26,38
2.9,Ruslan Fedotenko,22,0,-4,15.9,27,164,15,LW,4.3,41,80,3,1.4,6,4,1228,0,26,12,15:21,44
2.2,Pavel Kubina,1,0,-12,3.2,28,155,33,D,5.3,38,76,22,3.2,3,4,1704,2,5,9,22:25,96
2.0,Ryan Craig,9,0,-4,18.5,24,81,13,C,2.8,28,48,4,0.8,0,6,737,0,15,9,15:21,6
0.8,Darryl Sydor,3,0,-18,6.3,33,64,19,D,3.1,23,80,6,2.3,0,1,1527,0,4,13,19:06,30
0.7,Dave Andreychuk,1,1,-13,7.4,42,81,12,LW,0.9,18,42,8,0.2,1,4,564,1,6,3,13:26,16
0.3,Paul Ranger,1,0,5,1.4,21,73,17,D,3.8,18,76,1,3.5,1,0,1301,3,1,13,17:07,58
0.2,Evgeny Artyukhin,3,0,-4,5.1,22,79,13,RW,0.9,17,72,1,0.6,0,1,628,0,4,12,8:43,90
0.0,Rob DiMaio,2,0,-7,5.6,37,72,13,RW,0.6,17,61,1,0.6,1,2,713,1,4,11,11:41,30
0.4,Dmitry Afanasenkov,8,0,-7,11.5,25,78,6,LW,1.0,15,68,3,0.6,0,1,662,0,9,3,9:44,16
-0.2,Cory Sarich,1,0,-2,1.1,27,88,14,D,3.2,15,82,1,3.5,0,0,1523,1,1,12,18:34,79
-1.0,Tim Taylor,7,0,-12,6.4,36,109,6,C,-0.2,13,82,0,0.8,0,0,1021,0,7,6,12:27,22
-0.9,Nolan Pratt,0,0,7,0.0,30,26,9,D,3.2,9,82,0,4.0,0,0,1475,0,0,9,17:59,60
-0.3,Martin Cibak,2,0,-9,4.0,25,50,6,C,-0.1,8,65,0,0.2,0,0,429,0,2,6,6:36,22
0.2,Norm Milley,1,0,-2,16.7,25,12,1,RW,0.2,3,14,0,0.1,0,1,100,0,2,1,7:09,4
0.0,Sean Burke,0,0,0,,39,0,1,G,4.1,1,35,0,0.0,0,0,1713,0,0,0,48:57,10
-0.5,Chris Dingman,0,0,-10,0.0,29,24,1,LW,-0.6,1,34,0,-0.1,0,0,187,0,0,1,5:29,22
0.0,John Grahame,0,0,0,,30,0,1,G,6.9,1,57,0,0.0,0,0,3152,0,0,0,55:18,14
0.0,Timo Helbling,0,0,-3,0.0,24,2,1,D,0.0,1,9,0,0.0,0,0,93,0,0,1,10:19,6
0.0,Darren Reid,0,0,-2,0.0,22,3,1,RW,0.0,1,7,0,0.0,0,0,40,0,0,1,5:41,0
-0.1,Nick Tarnasky,0,0,-3,0.0,21,9,1,C,-0.1,1,12,0,0.0,0,0,56,0,0,1,4:40,4
0.0,Jim Campbell,0,0,0,,32,0,0,RW,0.0,0,1,0,0.0,0,0,9,0,0,0,8:47,2
0.0,Gerald Coleman,0,0,0,,20,0,0,G,0.1,0,2,0,0.0,0,0,43,0,0,0,21:38,0
0.0,Brian Eklund,0,0,0,,25,0,0,G,0.0,0,1,0,0.0,0,0,58,0,0,0,58:13,0
0.0,Doug O'Brien,0,0,0,0.0,21,2,0,D,0.0,0,5,0,0.1,0,0,39,0,0,0,7:44,2
