offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
4.6,Ace Bailey,0,0,0,,26,0,21,RW,5.6,43,43,0,1.0,0,0,,0,22,0,,69
4.1,Baldy Cotton,0,0,0,,27,0,17,LW,5.0,38,41,0,1.0,0,0,,0,21,0,,47
3.1,Charlie Conacher,0,0,0,,20,0,9,RW,4.0,29,38,0,0.9,0,0,,0,20,0,,48
0.9,Joe Primeau,0,0,0,,24,0,21,C,1.9,26,43,0,1.0,0,0,,0,5,0,,22
1.0,Andy Blair,0,0,0,,21,0,10,C,2.0,21,42,0,1.0,0,0,,0,11,0,,27
0.5,Hap Day,0,0,0,,28,0,14,LW/D,1.5,21,43,0,1.0,0,0,,0,7,0,,77
1.5,Busher Jackson,0,0,0,,19,0,6,LW,2.2,18,31,0,0.7,0,0,,0,12,0,,29
-0.7,Eric Pettinger,0,0,0,,25,0,9,LW,0.3,13,43,0,1.0,0,0,,0,4,0,,40
0.5,Art Duncan,0,0,0,,38,0,5,D,4.0,9,38,0,3.6,0,0,,0,4,0,,49
0.4,Red Horner,0,0,0,,20,0,7,D,3.5,9,33,0,3.1,0,0,,0,2,0,,96
-0.1,Art Smith,0,0,0,,23,0,3,D,3.9,6,43,0,4.0,0,0,,0,3,0,,75
-0.4,Danny Cox,0,0,0,,26,0,4,LW,0.0,5,18,0,0.4,0,0,,0,1,0,,18
0.0,Gord Brydson,0,0,0,,23,0,0,F,0.2,2,8,0,0.2,0,0,,0,2,0,,8
-0.9,Frank Nighbor,0,0,0,,37,0,0,C,-0.3,2,22,0,0.5,0,0,,0,2,0,,2
0.0,Lorne Chabot,0,0,0,,29,0,0,G,8.1,0,42,0,0.0,0,0,,0,0,0,,0
0.0,Benny Grant,0,0,0,,21,0,0,G,-0.1,0,2,0,0.0,0,0,,0,0,0,,0
0.0,Cliff McBride,0,0,0,,21,0,0,D,0.1,0,1,0,0.1,0,0,,0,0,0,,0
