shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,,RW,,0,0,0,0,25,0,36,21,Charlie Conacher,10.2,0.9,57,0,24,,47,0,9.3,0,/players/c/conacch01.html
0,,LW,,0,0,0,0,24,0,22,22,Busher Jackson,7.0,0.8,44,0,27,,42,0,6.2,0,/players/j/jacksbu01.html
0,,C,,0,0,0,0,29,0,10,20,Joe Primeau,3.9,0.7,30,0,16,,37,0,3.1,0,/players/p/primejo01.html
0,,D,,0,0,0,0,22,0,10,16,Flash Hollett,7.2,3.7,26,0,38,,48,0,3.5,0,/players/h/hollefl01.html
0,,LW,,0,0,0,0,32,0,11,14,Baldy Cotton,3.0,0.9,25,0,36,,47,0,2.1,0,/players/c/cottoba01.html
0,,LW,,0,0,0,0,27,0,11,13,Hec Kilrea,2.9,0.9,24,0,16,,46,0,2.0,0,/players/k/kilrehe01.html
0,,D,,0,0,0,0,24,0,9,13,Bill Thoms,6.5,3.6,22,0,15,,47,0,2.9,0,/players/t/thomsbi01.html
0,,D,,0,0,0,0,31,0,5,16,King Clancy,5.9,3.6,21,0,53,,47,0,2.3,0,/players/c/clancki01.html
0,,C,,0,0,0,0,26,0,6,14,Andy Blair,1.8,0.9,20,0,22,,45,0,1.0,0,/players/b/blairan01.html
0,,RW,,0,0,0,0,21,0,11,8,Pep Kelly,2.3,0.9,19,0,14,,47,0,1.4,0,/players/k/kellype02.html
0,,LW,,0,0,0,0,23,0,14,4,Buzz Boll,2.5,0.9,18,0,4,,47,0,1.6,0,/players/b/bollbu01.html
0,,D,,0,0,0,0,25,0,4,8,Red Horner,4.6,3.5,12,0,125,,46,0,1.1,0,/players/h/hornere01.html
0,,LW/D,,0,0,0,0,33,0,2,4,Hap Day,-0.4,0.9,6,0,38,,45,0,-1.3,0,/players/d/dayha01.html
0,,RW,,0,0,0,0,28,0,1,4,Ken Doraty,0.4,0.2,5,0,0,,11,0,0.2,0,/players/d/doratke01.html
0,,C/LW,,0,0,0,0,20,0,2,2,Nick Metz,0.2,0.3,4,0,4,,18,0,-0.2,0,/players/m/metzni01.html
0,,C,,0,0,0,0,19,0,1,3,Art Jackson,0.0,0.4,4,0,4,,20,0,-0.4,0,/players/j/jacksar01.html
0,,RW,,0,0,0,0,31,0,2,0,Frank Finnigan,0.2,0.2,2,0,2,,11,0,-0.1,0,/players/f/finnifr01.html
0,,LW,,0,0,0,0,22,0,0,0,Bob Davidson,-0.2,0.1,0,0,6,,5,0,-0.3,0,/players/d/davidbo01.html
0,,G,,0,0,0,0,39,0,0,0,George Hainsworth,9.0,0.0,0,0,0,,48,0,0.0,0,/players/h/hainsge01.html
