assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
46,6,38,23,,7.3,1.2,27,,10,C,8.5,36,TOR,/players/s/sittlda01.html,0,55,11,12,Darryl Sittler,14.1,1974,84,0,78,270
47,2,22,38,,4.6,1.2,18,,9,C,5.7,38,TOR,/players/u/ullmano01.html,0,12,4,10,Norm Ullman,12.4,1974,69,0,78,178
31,2,24,31,,3.9,1.0,19,,11,LW,4.9,20,TOR,/players/h/hendepa01.html,0,40,5,9,Paul Henderson,15.1,1974,55,0,69,159
28,3,25,33,,3.6,1.2,22,,7,C,4.8,20,TOR,/players/k/keonda01.html,1,7,1,13,Dave Keon,10.2,1974,53,2,74,244
25,3,23,29,,3.2,1.0,20,,5,RW,4.2,20,TOR,/players/e/ellisro01.html,0,12,3,8,Ron Ellis,14.6,1974,48,0,70,158
23,4,20,26,,2.6,1.2,16,,3,LW,3.9,20,TOR,/players/h/hammain01.html,0,14,4,17,Inge Hammarstrom,14.8,1974,43,0,66,135
28,1,14,27,,3.3,4.7,11,,8,D,8.0,20,TOR,/players/m/mckenji01.html,0,36,3,16,Jim McKenny,10.9,1974,42,0,77,129
22,3,18,22,,2.1,1.3,15,,3,RW,3.4,19,TOR,/players/k/kehoeri01.html,0,8,3,19,Rick Kehoe,9.1,1974,40,0,69,197
34,0,5,22,,2.3,6.0,2,,8,D,8.3,26,TOR,/players/s/salmibo01.html,0,48,3,38,Borje Salming,3.8,1974,39,0,76,130
27,2,8,20,,2.1,4.5,6,,7,D,6.6,20,TOR,/players/t/turnbia01.html,0,74,2,12,Ian Turnbull,3.5,1974,35,0,78,231
19,1,12,26,,2.3,3.7,12,,5,D,6.0,13,TOR,/players/p/pelykmi01.html,1,94,0,5,Mike Pelyk,10.4,1974,31,0,71,115
16,3,14,20,,0.8,0.8,12,,3,RW,1.7,12,TOR,/players/m/mcdonla01.html,1,43,2,3,Lanny McDonald,9.9,1974,30,0,70,142
16,1,9,27,,-0.4,1.0,9,,2,LW,0.6,13,TOR,/players/m/monahga01.html,1,70,0,4,Garry Monahan,6.5,1974,25,0,78,139
14,1,9,26,,0.8,0.7,6,,0,RW,1.6,14,TOR,/players/e/eccleti01.html,0,32,1,8,Tim Ecclestone,11.4,1974,23,2,46,79
18,0,4,27,,0.9,4.8,2,,1,D,5.7,17,TOR,/players/g/glennbr01.html,0,100,1,27,Brian Glennie,6.2,1974,22,1,65,65
9,0,8,25,,0.7,0.5,6,,5,LW,1.2,4,TOR,/players/d/duperde01.html,0,8,2,3,Denis Dupere,15.1,1974,17,0,34,53
8,1,7,36,,-0.6,0.7,3,,0,RW,0.0,8,TOR,/players/s/shacked01.html,0,74,4,1,Eddie Shack,9.0,1974,15,0,59,78
8,2,7,23,,-0.5,0.7,7,,1,LW,0.2,7,TOR,/players/t/thomper01.html,0,6,0,2,Errol Thompson,9.5,1974,15,0,56,74
7,0,5,20,,0.4,1.7,3,,1,D,2.0,6,TOR,/players/n/neelybo01.html,0,98,2,-14,Bob Neely,6.5,1974,12,0,54,77
8,0,2,24,,0.5,0.4,2,,1,LW,0.9,7,TOR,/players/j/jarrypi01.html,0,10,0,8,Pierre Jarry,6.5,1974,10,0,12,31
4,0,0,21,,-0.3,0.2,0,,1,C,-0.1,3,TOR,/players/f/ferguge01.html,0,4,0,1,George Ferguson,0.0,1974,4,0,16,19
1,0,0,24,,-0.3,0.9,0,,0,D,0.7,1,TOR,/players/b/brosswi01.html,0,20,0,2,Willy Brossart,0.0,1974,1,0,17,9
0,0,0,28,,0.0,0.0,0,,0,G,6.0,0,TOR,/players/f/faveldo01.html,0,20,0,0,Doug Favell,,1974,0,0,32,0
0,0,0,38,,0.0,0.0,0,,0,G,4.3,0,TOR,/players/j/johnsed01.html,0,0,0,0,Eddie Johnston,,1974,0,0,26,0
0,0,0,25,,0.0,0.0,0,,0,G,4.4,0,TOR,/players/w/wilsodu01.html,0,6,0,0,Dunc Wilson,,1974,0,0,24,0
