assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
44,6,31,21,,5.2,1.1,24,,20,RW,6.3,21,VAN,/players/l/lindetr01.html,3,101,6,3,Trevor Linden,15.4,1992,75,1,80,201
47,2,24,26,,4.3,1.6,18,,17,C,5.9,30,VAN,/players/r/ronnicl01.html,0,42,6,18,Cliff Ronning,11.1,1992,71,0,80,216
44,4,21,31,,3.9,1.1,8,,11,C,5.1,30,VAN,/players/l/larioig01.html,3,54,10,7,Igor Larionov,21.6,1992,65,3,72,97
26,6,34,20,,4.8,0.8,24,,9,RW,5.7,16,VAN,/players/b/burepa01.html,1,30,7,0,Pavel Bure,12.7,1992,60,3,65,268
27,5,30,28,,3.8,1.2,16,,7,LW,5.1,18,VAN,/players/a/adamsgr02.html,2,26,13,8,Greg Adams,16.3,1992,57,1,76,184
34,3,23,29,,3.5,0.7,11,,15,LW,4.3,19,VAN,/players/c/courtge01.html,0,116,12,-6,Geoff Courtnall,8.2,1992,57,0,70,281
32,1,12,25,,2.8,5.5,8,,17,D,8.3,14,VAN,/players/l/lummejy01.html,1,65,3,25,Jyrki Lumme,11.3,1992,44,1,75,106
23,3,20,26,,2.7,1.2,18,,7,LW,3.9,16,VAN,/players/m/momesse01.html,0,198,2,16,Sergio Momesso,13.1,1992,43,0,58,153
24,2,16,25,,1.8,1.5,13,,3,RW,3.3,21,VAN,/players/s/sandlji01.html,0,176,3,22,Jim Sandlak,13.1,1992,40,0,66,122
22,1,15,20,,1.1,0.9,10,,6,C,2.0,16,VAN,/players/n/nedvepe01.html,0,36,5,-3,Petr Nedved,15.2,1992,37,0,77,99
20,3,14,29,,2.0,0.6,8,,8,C,2.6,12,VAN,/players/f/ferguto01.html,0,17,6,1,Tom Fergus,17.7,1992,34,0,44,79
23,2,6,31,,1.4,4.0,3,,9,D,5.4,11,VAN,/players/l/lidstdo01.html,3,39,3,9,Doug Lidster,6.7,1992,29,0,66,89
24,1,5,30,,1.1,3.9,1,,12,D,5.0,12,VAN,/players/b/babycda01.html,0,63,4,-2,Dave Babych,3.4,1992,29,0,75,148
21,1,6,26,,1.0,3.9,4,,9,D,4.9,10,VAN,/players/d/diducge01.html,2,229,2,-3,Gerald Diduck,4.7,1992,27,0,77,128
17,2,8,24,,0.1,0.9,5,,2,LW,1.0,15,VAN,/players/v/valkga01.html,0,56,2,3,Garry Valk,8.6,1992,25,1,65,93
11,0,6,33,,-0.8,1.0,4,,1,C,0.3,8,VAN,/players/w/waltery01.html,2,49,1,6,Ryan Walter,8.2,1992,17,1,67,73
11,0,3,25,,-0.1,4.6,2,,2,D,4.5,9,VAN,/players/m/murzyda01.html,0,147,0,15,Dana Murzyn,3.0,1992,14,1,70,99
6,0,4,21,,-1.4,0.8,4,,0,RW,-0.6,6,VAN,/players/o/odjicgi01.html,0,348,0,-1,Gino Odjick,5.9,1992,10,0,65,68
9,0,1,22,,0.5,1.1,1,,4,D,1.6,5,VAN,/players/p/plavsad01.html,0,14,0,4,Adrien Plavsic,4.8,1992,10,0,16,21
7,0,2,25,,-0.6,4.2,2,,0,D,3.5,7,VAN,/players/d/dirkro01.html,0,126,0,6,Robert Dirk,4.5,1992,9,0,72,44
4,0,1,35,,0.0,0.9,1,,1,D,1.0,3,VAN,/players/g/greggra01.html,0,24,0,-3,Randy Gregg,5.3,1992,5,0,21,19
5,0,0,25,,0.0,0.0,0,,0,G,11.4,0,VAN,/players/m/mcleaki01.html,0,0,0,0,Kirk McLean,,1992,5,0,65,0
2,0,2,24,,-0.9,0.2,2,,1,LW,-0.7,1,VAN,/players/k/kronro01.html,0,2,0,-9,Robert Kron,4.1,1992,4,0,36,49
0,0,1,27,,-0.1,0.0,1,,0,RW,0.0,0,VAN,/players/m/mcbaian01.html,0,0,0,-1,Andrew McBain,9.1,1992,1,0,6,11
1,0,0,22,,-0.2,0.0,0,,0,LW,-0.1,1,VAN,/players/m/murphro02.html,0,6,0,-2,Rob Murphy,0.0,1992,1,0,6,2
0,0,0,25,,-0.5,1.2,0,,0,D,0.7,0,VAN,/players/a/agnewji01.html,0,56,0,-1,Jim Agnew,0.0,1992,0,0,24,9
0,0,0,21,,-0.2,0.0,0,,0,LW,-0.1,0,VAN,/players/a/antossh01.html,0,29,0,-1,Shawn Antoski,0.0,1992,0,0,4,6
0,0,0,25,,-0.1,0.0,0,,0,RW,-0.1,0,VAN,/players/b/bawaro01.html,0,0,0,0,Robin Bawa,0.0,1992,0,0,2,1
0,0,0,24,,0.0,0.0,0,,0,G,1.5,0,VAN,/players/g/gambltr01.html,0,8,0,0,Troy Gamble,,1992,0,0,19,0
0,0,0,27,,-0.2,0.0,0,,0,C,-0.2,0,VAN,/players/m/mazurja01.html,0,2,0,-2,Jay Mazur,0.0,1992,0,0,5,3
