assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
9,3,34,26,,5.1,1.1,16,,6,RW,6.2,3,WSH,/players/b/bondrpe01.html,0,24,12,9,Peter Bondra,19.2,1995,43,6,47,177
38,0,5,27,,2.6,0.7,2,,22,C,3.3,15,WSH,/players/j/juneajo01.html,1,8,3,-1,Joe Juneau,7.1,1995,43,0,44,70
23,2,10,29,,2.1,0.9,4,,9,C,3.0,12,WSH,/players/p/pivonmi01.html,2,50,4,3,Michal Pivonka,12.5,1995,33,2,46,80
26,2,5,27,,2.3,2.5,1,,20,D,4.8,5,WSH,/players/j/johanca01.html,1,35,4,-6,Calle Johansson,4.5,1995,31,0,46,112
14,2,12,25,,1.6,0.8,4,,4,LW,2.4,10,WSH,/players/k/khrisdm01.html,0,41,8,0,Dmitri Khristich,13.0,1995,26,0,48,92
14,3,11,22,,1.5,1.0,5,,0,LW,2.5,12,WSH,/players/k/konowst01.html,2,44,3,7,Steve Konowalchuk,12.5,1995,25,3,46,88
13,1,10,31,,1.1,1.0,8,,3,RW,2.1,9,WSH,/players/m/milleke01.html,1,6,2,5,Kelly Miller,14.3,1995,23,0,48,70
15,1,8,34,,1.1,0.6,5,,4,C,1.7,11,WSH,/players/h/hunteda02.html,0,101,3,-4,Dale Hunter,11.0,1995,23,0,45,73
6,4,14,26,,1.5,0.6,13,,2,RW,2.1,4,WSH,/players/j/joneske01.html,0,65,1,-2,Keith Jones,16.5,1995,20,0,40,85
14,2,5,29,,1.2,3.1,4,,6,D,4.3,5,WSH,/players/c/cotesy01.html,3,53,1,2,Sylvain Cote,4.0,1995,19,0,47,124
13,0,0,32,,0.2,3.4,0,,2,D,3.6,11,WSH,/players/j/johnsji02.html,0,43,0,6,Jim Johnson,0.0,1995,13,0,47,46
9,1,3,28,,0.5,2.3,1,,1,D,2.8,7,WSH,/players/t/tinorma01.html,1,71,2,-5,Mark Tinordi,4.2,1995,12,0,42,71
5,0,4,36,,0.1,0.6,2,,0,LW,0.6,5,WSH,/players/p/poulida02.html,0,10,0,2,Dave Poulin,13.3,1995,9,2,29,30
5,0,2,20,,0.2,2.3,2,,0,D,2.4,5,WSH,/players/g/gonchse01.html,0,22,0,4,Sergei Gonchar,5.3,1995,7,0,31,38
6,0,1,29,,-0.3,3.7,1,,0,D,3.5,4,WSH,/players/r/reekijo01.html,2,97,0,10,Joe Reekie,1.9,1995,7,0,48,52
4,0,2,29,,-0.9,0.6,2,,0,LW,-0.4,4,WSH,/players/b/berubcr01.html,0,173,0,-5,Craig Berube,9.1,1995,6,0,43,22
6,0,0,23,,-0.7,0.3,0,,1,RW,-0.3,5,WSH,/players/p/pearsro01.html,0,96,0,-6,Rob Pearson,0.0,1995,6,0,32,34
1,0,3,23,,0.1,1.6,3,,0,D,1.8,1,WSH,/players/k/kleeke01.html,0,41,0,2,Ken Klee,16.7,1995,4,0,23,18
3,0,1,31,,0.0,0.3,1,,1,C,0.2,1,WSH,/players/e/eaglemi01.html,1,8,0,2,Mike Eagles,6.7,1995,4,0,13,15
4,0,0,21,,-0.3,0.1,0,,2,C,-0.2,2,WSH,/players/p/peakepa01.html,0,12,0,-6,Pat Peake,0.0,1995,4,0,18,30
1,0,2,19,,0.0,0.1,0,,1,C,0.1,0,WSH,/players/a/allisja02.html,0,6,2,-3,Jason Allison,22.2,1995,3,0,12,9
1,0,2,20,,0.1,0.2,2,,0,RW,0.4,1,WSH,/players/g/gendrma01.html,0,2,0,3,Martin Gendron,18.2,1995,3,0,8,11
3,0,0,22,,-0.1,0.8,0,,3,D,0.8,0,WSH,/players/s/slanejo01.html,0,6,0,-3,John Slaney,0.0,1995,3,0,16,21
1,1,1,25,,-0.8,0.3,1,,0,C,-0.5,1,WSH,/players/k/kaminke01.html,0,102,0,-6,Kevin Kaminski,8.3,1995,2,0,27,12
0,0,1,22,,-0.2,0.1,1,,0,C,-0.1,0,WSH,/players/n/nelsoje01.html,0,2,0,-2,Jeff Nelson,25.0,1995,1,0,10,4
1,0,0,26,,0.0,0.0,0,,0,G,0.7,0,WSH,/players/t/tabarri01.html,0,2,0,0,Rick Tabaracci,,1995,1,0,8,0
1,0,0,25,,0.0,0.4,0,,0,D,0.4,1,WSH,/players/u/ulanoig01.html,0,2,0,3,Igor Ulanov,,1995,1,0,3,0
0,0,0,29,,-0.1,0.0,0,,0,LW,0.0,0,WSH,/players/b/burrira01.html,0,2,0,0,Randy Burridge,0.0,1995,0,0,2,2
0,0,0,20,,0.0,0.0,0,,0,G,4.4,0,WSH,/players/c/careyji01.html,0,0,0,0,Jim Carey,,1995,0,0,28,0
0,0,0,23,,0.0,0.0,0,,0,G,0.2,0,WSH,/players/d/dafoeby01.html,0,0,0,0,Byron Dafoe,,1995,0,0,4,0
0,0,0,24,,0.0,0.0,0,,0,G,1.7,0,WSH,/players/k/kolziol01.html,0,4,0,0,Olaf Kolzig,,1995,0,0,14,0
