shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
2,21:18,RW,12.4,24,290,21,0,30,9,36,41,Jaromir Jagr,9.1,1.6,77,13,38,1598,75,5,7.5,17,/players/j/jagrja01.html
0,18:47,C,15.1,29,146,12,0,32,2,22,47,Robert Lang,7.2,1.9,69,10,22,1540,82,12,5.3,18,/players/l/langro01.html
0,26:35,D,8.0,25,224,11,1,28,2,18,49,Sergei Gonchar,11.5,4.8,67,7,52,2179,82,13,6.7,23,/players/g/gonchse01.html
2,18:53,LW,11.7,16,256,19,0,34,4,30,26,Peter Bondra,6.2,1.2,56,9,52,1436,76,-3,5.1,10,/players/b/bondrpe01.html
0,18:41,C,12.1,27,141,10,0,30,2,17,39,Michael Nylander,5.3,1.3,56,7,36,1327,71,3,4.0,12,/players/n/nylanmi01.html
0,14:58,C,13.5,23,89,9,1,33,4,12,38,Kip Miller,4.5,0.9,50,3,18,1077,72,-1,3.5,14,/players/m/milleki01.html
0,16:26,C,12.5,20,104,11,0,24,0,13,22,Dainius Zubrus,3.7,1.5,35,2,43,1035,63,15,2.2,2,/players/z/zubruda01.html
2,17:25,C,10.3,19,126,10,1,26,2,13,21,Jeff Halpern,2.5,1.5,34,1,88,1429,82,6,1.0,1,/players/h/halpeje01.html
2,17:48,RW,11.3,11,133,11,0,28,2,15,17,Mike Grier,1.6,0.7,32,2,36,1459,82,-14,0.9,6,/players/g/griermi01.html
0,16:42,LW,12.6,14,119,13,1,30,3,15,15,Steve Konowalchuk,2.4,1.3,30,2,71,1286,77,3,1.2,0,/players/k/konowst01.html
0,11:48,LW,13.1,10,61,8,0,25,2,8,10,Ivan Ciernik,1.9,0.7,18,0,24,555,47,6,1.2,0,/players/c/cierniv01.html
0,21:49,D,1.5,14,67,1,0,31,0,1,16,Ken Klee,4.7,4.4,17,0,89,1527,70,22,0.3,2,/players/k/kleeke01.html
0,21:45,D,3.9,9,77,2,1,35,0,3,12,Calle Johansson,3.8,3.8,15,1,22,1784,82,9,0.0,2,/players/j/johanca01.html
0,9:44,C,5.3,9,38,2,0,20,0,2,9,Brian Sutherby,0.3,0.9,11,0,93,701,72,7,-0.6,0,/players/s/suthebr01.html
0,20:55,D,2.5,9,80,2,0,27,0,2,9,Brendan Witt,3.3,3.4,11,0,106,1444,69,12,-0.1,0,/players/w/wittbr01.html
0,15:41,LW,17.9,4,28,5,0,31,2,5,4,Sergei Berezin,1.6,0.5,9,0,4,141,9,10,1.1,0,/players/b/berezse01.html
0,14:11,D,7.3,5,41,3,0,26,1,3,5,Jason Doig,1.4,1.1,8,0,108,780,55,-3,0.3,0,/players/d/doigja01.html
0,10:07,RW,9.1,3,22,2,0,28,1,2,3,Glen Metropolit,0.5,0.4,5,0,6,233,23,4,0.1,0,/players/m/metrogl01.html
0,8:50,LW,5.0,4,20,1,0,29,0,1,4,Andreas Salomonsson,0.1,0.2,5,0,14,282,32,-1,-0.2,0,/players/s/saloman01.html
0,12:58,D,5.0,1,40,2,0,24,1,2,1,Rick Berry,0.6,0.7,3,0,87,557,43,-3,-0.1,0,/players/b/berryri01.html
0,8:07,LW,5.0,2,20,1,0,25,0,1,2,Josh Green,0.1,0.2,3,0,7,170,21,1,-0.1,0,/players/g/greenjo01.html
0,15:32,D,0.0,3,28,0,0,25,0,0,3,Joel Kwiatkowski,0.7,1.0,3,0,12,528,34,1,-0.2,0,/players/k/kwiatjo01.html
0,8:30,C,25.0,1,4,1,0,25,1,1,1,Trent Whitfield,0.1,0.1,2,0,6,119,14,1,0.0,0,/players/w/whitftr01.html
0,10:08,D,0.0,2,6,0,0,19,0,0,2,Steve Eminger,0.1,0.0,2,0,24,172,17,-3,0.0,0,/players/e/emingst01.html
0,8:53,LW,0.0,1,16,0,0,31,0,0,2,Chris Simon,-0.1,0.0,2,0,23,89,10,-3,0.0,1,/players/s/simonch01.html
0,19:33,D,14.3,0,7,1,0,25,1,1,0,Josef Boumedienne,0.2,0.1,1,0,0,117,6,-1,0.1,0,/players/b/boumejo01.html
0,4:09,RW,14.3,0,7,1,0,22,0,1,0,Stephen Peat,-0.1,0.0,1,0,57,112,27,-3,-0.1,0,/players/p/peatst01.html
0,15:14,D,0.0,1,20,0,0,23,0,0,1,Jean-Francois Fortin,0.2,0.6,1,0,22,503,33,-3,-0.4,0,/players/f/fortije01.html
