offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
7.0,Alex Ovechkin,16,0,2,14.5,27,220,24,RW,8.0,56,48,11,1.0,4,16,1002,0,32,13,20:53,36
4.5,Mike Ribeiro,7,0,-4,20.6,32,63,36,C,5.1,49,48,21,0.6,1,6,856,0,13,15,17:50,53
3.5,Nicklas Backstrom,5,0,8,9.8,25,82,40,C,4.8,48,48,15,1.2,1,3,955,0,8,25,19:54,20
3.3,Troy Brouwer,11,1,-5,17.1,27,111,14,RW,3.9,33,47,9,0.6,5,7,871,0,19,5,18:32,28
3.2,Mike Green,8,0,-3,12.5,27,96,14,D,4.5,26,35,10,1.3,2,4,870,0,12,4,24:51,20
1.8,John Carlson,6,0,11,6.2,23,97,16,D,4.7,22,48,5,2.9,0,0,1105,0,6,11,23:01,18
1.5,Marcus Johansson,3,0,3,15.0,22,40,16,C,2.2,22,34,1,0.7,1,3,564,1,6,14,16:35,4
1.4,Joel Ward,6,1,7,15.4,32,52,12,RW,2.3,20,39,2,0.8,1,1,590,0,8,10,15:08,12
1.3,Eric Fehr,6,1,14,12.5,27,72,8,RW,2.4,17,41,1,1.1,2,2,548,0,9,7,13:22,10
1.3,Mathieu Perreault,4,0,7,12.8,25,47,11,C,2.0,17,39,1,0.7,1,2,455,0,6,10,11:40,20
0.2,Jason Chimera,3,0,-5,3.3,33,92,11,LW,0.5,14,47,0,0.3,0,0,596,0,3,11,12:40,48
0.4,Wojtek Wolski,4,0,1,8.2,26,49,5,LW,0.8,9,27,1,0.4,2,0,360,0,4,4,13:21,6
0.8,Jack Hillen,3,0,9,10.7,27,28,6,D,2.3,9,23,0,1.5,1,0,405,0,3,6,17:37,14
0.5,Steven Oleksy,1,0,9,4.0,26,25,8,D,2.1,9,28,0,1.6,0,0,484,0,1,8,17:16,33
-0.1,Matt Hendricks,5,0,-6,9.3,31,54,3,C,0.1,8,48,0,0.3,1,0,563,0,5,3,11:43,73
-0.5,Jay Beagle,2,0,-1,3.6,27,56,6,C,0.0,8,48,0,0.5,1,0,581,0,2,6,12:06,14
0.4,Tomas Kundratek,1,0,-5,4.3,23,23,6,D,0.7,7,25,3,0.3,0,0,404,0,1,3,16:09,8
0.3,John Erskine,3,0,10,9.4,32,32,3,D,2.2,6,30,0,1.8,0,0,554,0,3,3,18:28,34
-0.5,Karl Alzner,1,0,-6,2.6,24,39,4,D,0.7,5,48,0,1.3,0,0,1006,0,1,4,20:57,14
0.1,Brooks Laich,1,0,2,10.0,29,10,3,C,0.4,4,9,1,0.2,0,0,149,0,1,2,16:32,6
0.1,Martin Erat,1,0,0,11.1,31,9,2,LW,0.2,3,9,0,0.1,1,0,125,0,1,2,13:55,4
-0.1,Jeff Schultz,0,0,-6,0.0,26,12,3,D,0.0,3,26,0,0.1,0,0,371,0,0,3,14:15,12
-0.2,Joey Crabb,2,0,-1,10.0,29,20,0,RW,-0.1,2,26,0,0.2,0,0,245,0,2,0,9:25,8
0.0,Braden Holtby,0,0,0,,23,0,2,G,8.0,2,36,0,0.0,0,0,2089,0,0,0,58:02,2
-0.1,Tom Poti,0,0,-2,0.0,35,8,2,D,0.2,2,16,1,0.3,0,0,244,0,0,1,15:13,2
0.0,Roman Hamrlik,0,0,-1,0.0,38,2,1,D,0.1,1,4,0,0.0,0,0,62,0,0,1,15:36,2
0.0,Dmitry Orlov,0,0,5,0.0,21,1,1,D,0.6,1,5,0,0.6,0,0,75,0,0,1,14:57,0
-0.3,Aaron Volpatti,0,0,-2,0.0,27,10,1,RW,-0.3,1,17,0,0.1,0,0,158,0,0,1,9:18,7
0.0,Philipp Grubauer,0,0,0,,21,0,0,G,0.4,0,2,0,0.0,0,0,84,0,0,0,41:59,0
0.0,Michal Neuvirth,0,0,0,,24,0,0,G,2.2,0,13,0,0.0,0,0,723,0,0,0,55:38,0
0.0,Cameron Schilling,0,0,-1,,24,0,0,D,-0.1,0,1,0,-0.1,0,0,12,0,0,0,11:58,0
